Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;001120;13000;63200;;4.700.833,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;212;USERA
2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;001120;13000;63200;;1.890.285,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;207;CHAMBERI
2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;001120;13000;63200;;4.332.741,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;202;ARGANZUELA
2021/000447;ESCUADRÓN DE LA POLICÍA MUNICIPAL. OBRAS REFORMA PICADERO;001120;13000;63200;;149.853,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;209;MONCLOA-ARAVACA
2022/000416;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). OBRAS DE REFORMA;001120;13000;63200;;935.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;204;SALAMANCA
2022/000417;PARQUE DE BOMBEROS 8. OBRAS DE REFORMA;001120;13000;63200;;770.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;218;VILLA DE VALLECAS
2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;001120;13000;63200;;825.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;209;MONCLOA-ARAVACA
2022/000419;CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS. OBRAS DE REFORMA;001120;13000;63200;;880.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;210;LATINA
2022/000420;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE SANEAMIENTO Y REFORMA DE VESTUARIOS;001120;13000;63200;;935.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;212;USERA
2022/000421;ESCUADRÓN POLICÍA MUNICIPAL. OBRAS DE REFORMA CANTINA;001120;13000;63200;;300.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;209;MONCLOA-ARAVACA
2022/000422;UNIDAD INTEGRAL POLICÍA MUNICIPAL LATINA. OBRAS CENTRALIZACIÓN PRODUCCIÓN DE FRÍO;001120;13000;63200;;220.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;210;LATINA
2022/000423;UNIDAD INTEGRAL POLICÍA MUNICIPAL TETUÁN. OBRAS REFORMA AISLAMIENTO FACHADA;001120;13000;63200;;165.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;206;TETUAN
2022/000424;BASE 10 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;001120;13000;63200;;440.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;206;TETUAN
2022/000425;PARQUE 9 BOMBEROS. OBRAS PARA INSTALACIÓN DE CAMPA PROVISIONAL;001120;13000;63200;;1.540.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;208;FUENCARRAL-EL PARDO
2022/000426;PARQUE DE BOMBEROS 9. OBRAS DE REFORMA INTEGRAL;001120;13000;63200;;300.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;208;FUENCARRAL-EL PARDO
2022/000018;CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS. INSTALACIONES TECNICAS;001120;13001;62301;;14.500,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000019;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS;001120;13001;62500;;8.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000019;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS;001120;13001;62599;;10.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000019;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS;001120;13001;63500;;18.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000020;CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS. EQUIPOS PROCESOS DE DATOS;001120;13001;62601;;30.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000021;CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS. EQUIPOS COMUNICACION;001120;13001;63600;;18.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000022;CENTRO INTEGRADO DE FORMACIÓN SEGURIDAD Y EMERGENCIAS. APLICACIONES INFORMATICAS;001120;13001;64100;;27.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2021/000035;SERVICIOS POLICÍA MUNICIPAL. EQUIPOS DE VIDEOCONFERENCIA;001120;13201;62601;;110.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2021/000448;CÁMARAS VIDEOVIGILANCIA PÚBLICAS (CCTV) POLICÍA MUNICIPAL VARIOS DISTRITOS DE MADRID;001120;13201;62999;;411.095,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000056;TORO MECANICO ESCUADRON POLICIA MUNICIPAL;001120;13201;62300;;11.500,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000057;SERVICIOS POLICÍA MUNICIPAL. CONTENEDORES CARGA ELECTRICA Y ALMACENAMIENTO SEGURO TABLETAS;001120;13201;62301;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000058;ARMAS PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62999;;12.550,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000060;UTILES Y HERRAMIENTAS PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62302;;52.450,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000064;NUEVAS UNIDADES POLICÍA MUNICIPAL Y OTRAS DEPENDENCIAS. MOBILIARIO;001120;13201;62500;;500.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000065;SERVICIOS POLICÍA MUNICIPAL. OTRO MOBILIARIO Y ENSERES;001120;13201;62599;;850;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000068;BANDA POLICIA MUNICIPAL. ADQUISICION DE INSTRUMENTOS MUSICALES;001120;13201;62999;;5.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000074;SERVICIOS POLICIA MUNICIPAL. ESTACIONES DE TRABAJO, CAMARAS Y OTROS EQUIPOS PROCESO DATOS;001120;13201;62601;;63.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000077;CÁMARAS Y VIDEOCÁMARAS PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62601;;75.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000084;UNIDAD POLICÍA MUNICIPAL PLANETARIO. OBRAS DE ACONDICIONAMIENTO ESTRUCTURA;001120;13201;63200;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;202;ARGANZUELA
2022/000085;SERVICIOS POLICIA MUNICIPAL. SISTEMAS ANALISIS INFORMACION ATESTADOS VEHICULOS;001120;13201;64100;;2.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000087;SERVICIOS POLICIA MUNICIPAL. LICENCIAS ARCGIS;001120;13201;64100;;18.150,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000088;SERVICIOS POLICIA MUNICIPAL. SOFTWARE PROFESIONAL DE RECUPERACION DE DATOS;001120;13201;64100;;18.150,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000089;SERVICIOS POLICIA MUNICIPAL. LICENCIAS DE TEAMVIEWER;001120;13201;64100;;18.150,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000090;SERVICIOS POLICIA MUNICIPAL. LICENCIAS DESKTOPCENTRAL USUARIO TECNICO Y OS DEPOLYMENT EDITION;001120;13201;64100;;45.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000091;CÁMARAS VIDEOVIGILANCIA POLICÍA MUNICIPAL EN MARCONI, CHUECA Y AMPLIACIÓN CENTRO;001120;13201;62999;;2.460.359,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000450;VEHICULOS PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;001120;13201;62400;;1.297.744,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000452;SENSORES SISTEMAS DE ALRMAS COMUNICACIONES SERVICIOS POLICÍA MUNICIPAL;001120;13201;62999;;125.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000453;SERVICIOS POLICÍA MUNICIPAL. ADQUISICIÓN DE DRONES;001120;13201;62999;;100.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000454;SERVICIOS POLICÍA MUNICIPAL. APARATOS PARA MIGRACIÓN PULSE DE DISPOSITIVOS NO PC;001120;13201;62999;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000455;UNIDAD INTEGRAL POLICÍA MUNICIPAL FUENCARRAL. OBRAS DE ACONDICIONAMIENTO;001120;13201;63200;;50.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;208;FUENCARRAL-EL PARDO
2022/000456;SERVICIOS POLICÍA MUNICIPAL. RENOVACION ARCOS Y ESCÁNERES PAQUETERIA;001120;13201;63301;;164.600,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000457;RENOVACIÓN CÁMARAS VIDEOVIGILANCIA POLICÍA MUNICIPAL ENTORNO C/ BALLESTA;001120;13201;63999;;55.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;201;CENTRO
2022/000458;RENOVACION CÁMARAS VIDEOVIGILANCIA EN  DEPENDENCIAS POLICÍA MUNICIPAL;001120;13201;63999;;570.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000459;DISEÑO Y ELABORACION MANUAL DE IDENTIDAD CORPORATIVA SERVICIOS POLICÍA MUNICIPAL;001120;13201;64099;;23.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000460;CENTRO PROCESAMIENTO DE DATOS POLICÍA MUNICIPAL. ADQUISICIÓN SOLUCIÓN BACKUP (COPIA SEGURIDAD);001120;13201;64100;;157.300,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000461;SERVICIOS POLICÍA MUNICIPAL. LICENCIAS HOST VMWare Y FIREWALL NSX;001120;13201;64100;;262.200,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2022/000462;SERVICIOS POLICÍA MUNICIPAL. NUEVAS FUNCIONALIDADES APLICACIÓN SIGIT;001120;13201;64100;;100.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000310;SERVICIOS SAMUR-PROTECCIÓN CIVIL. EQUIPOS DE COMUNICACIÓN;001120;13510;62600;;43.865,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2020/000470;SERVICIOS SAMUR. SISTEMA DE GESTIÓN Y TRATAMIENTO DE EMERGENCIAS. ADQUISICIÓN;001120;13510;64100;;445.380,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000427;SERVICIOS SAMUR-PROTECCIÓN CIVIL. EQUIPOS DE ELECTROMEDICINA;001120;13510;62300;;350.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000429;MATERIAL NRBQ (NUCLEAR, RADIOLÓGICO, BIOLÓGICO Y QUÍMICO) PARA SAMUR-PROTECCIÓN CIVIL;001120;13510;62300;;300.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000432;ESTRUCTURAS PARA LOS SERVICIOS DE SAMUR-PROTECCIÓN CIVIL;001120;13510;62300;;250.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000433;VEHICULOS PARA LOS SERVICIOS DE SAMUR-PROTECCIÓN CIVIL;001120;13510;62400;;1.370.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000435;CENTROS ASISTENCIALES POLIVALENTES PARA LOS SERVICIOS DE SAMUR-PROTECCIÓN CIVIL;001120;13510;62999;;400.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000438;EQUIPOS DE COMUNICACIÓN PARA LOS SERVICIOS DE SAMUR-PROTECCIÓN CIVIL;001120;13510;62600;;180.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000441;SERVICIOS SAMUR-PROTECCIÓN CIVIL. INFRAESTRUCTURA PARA BASES DE DATOS DE EMERGENCIAS;001120;13510;63601;;250.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2022/000442;APLICACIONES INFORMATICAS PARA LOS SERVICIOS DE SAMUR-PROTECCIÓN CIVIL;001120;13510;64100;;220.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2017/000107;APLICACIÓN INFORMÁTICA PARA LOS SERVICIOS DE BOMBEROS;001120;13610;64100;;57.600,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000001;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;62300;;39.750,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000001;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;62302;;39.750,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000001;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;63300;;39.750,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000001;EQUIPAMIENTO SERVICIOS DE BOMBEROS;001120;13610;63302;;39.750,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000428;RAMPA DE CARGA PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62300;;160.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000430;EQUIPOS DE RESPIRACIÓN AUTÓNOMOS PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62302;;500.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
2022/000431;DETECTORES DE GASES PARA LOS SERVICIOS DE BOMBEROS;001120;13610;62302;;1.000.000,00;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;998;VARIOS DISTRITOS
