Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;001;102;92012;62500;2021/000344;2021/000344;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. MOBILIARIO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;30000,00;0,00;30000,00;21107,51;0,00;8892,49;8892,49;0,00;0,00;0,00
;;001;102;92012;62599;2021/000345;2021/000345;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. EQUIPOS AUDIOVISUALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;29000,00;0,00;29000,00;29000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;102;92012;62601;2021/001155;2021/001155;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. EQUIPOS PARA PROCESO DE DATOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;3700,00;3700,00;817,78;0,00;2882,22;2882,22;0,00;0,00;0,00
;;001;102;92012;63200;2021/000246;2021/000246;EDIFICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. OBRAS DE REFORMA;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000,00;0,00;4000,00;4000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;102;92012;63301;2021/000163;2021/000163;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;110;92010;62301;2021/000102;2021/000102;SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;20000,00;0,00;20000,00;20000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;110;92010;62500;2021/000103;2021/000103;SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA. MOBILIARIO Y EQUIPOS DE OFICINA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;25095,00;0,00;25095,00;24487,70;0,00;607,30;607,30;0,00;0,00;0,00
;;001;110;92010;62599;2021/000104;2021/000104;EQUIPAMIENTO SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;1256,26;0,00;3743,74;3743,74;3743,74;0,00;3743,74
;;001;110;92010;64100;2021/000168;2021/000168;SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA. LICENCIAS DE PROGRAMAS INFORMÁTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000,00;0,00;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92401;62599;2021/000094;2021/000094;EQUIPAMIENTO CRAS! CENTRO RECURSOS PARA EL ASOCIACIONISMO Y LA CIUDADANÍA ACTIVA;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;01;PARTICIPACIÓN CIUDADANA;;;;;;;6070,00;0,00;6070,00;6070,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92401;62600;2021/000094;2021/000094;EQUIPAMIENTO CRAS! CENTRO RECURSOS PARA EL ASOCIACIONISMO Y LA CIUDADANÍA ACTIVA;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;01;PARTICIPACIÓN CIUDADANA;;;;;;;576,00;0,00;576,00;576,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92401;64100;2021/000506;2021/000506;"SERVICIOS PARTICIPACIÓN CIUDADANA. DESARROLLO DE LA PLATAFORMA ""DECIDE MADRID""";998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;01;PARTICIPACIÓN CIUDADANA;;;;;;;0,00;72000,00;72000,00;36782,95;0,00;35217,05;35217,05;0,00;0,00;0,00
;;001;111;92501;62500;2021/000264;2021/000264;OFICINA ATENCIÓN AL CIUDADANA LÍNEA MADRID DE SALAMANCA. MOBILIARIO;204;SALAMANCA;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;18150,00;0,00;18150,00;18150,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92501;62500;2021/000267;2021/000267;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;150000,00;0,00;150000,00;150000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92501;62599;2021/000266;2021/000266;OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID. ELEMENTOS PROTECCIÓN HIGIÉNICO-SANITARIOS;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;18150,00;0,00;18150,00;18150,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92501;62599;2021/000267;2021/000267;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;80000,00;-5855,43;74144,57;74144,57;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92501;62599;2021/000267;2021/010267;EQUIPAMIENTO OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID DE CHAMBERÍ;207;CHAMBERI;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;0,00;5855,43;5855,43;0,00;0,00;5855,43;5855,43;0,00;0,00;0,00
;;001;111;92501;63500;2021/000267;2021/000267;EQUIPAMIENTO OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;70000,00;0,00;70000,00;70000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92501;63599;2021/000266;2021/000266;OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID. ELEMENTOS PROTECCIÓN HIGIÉNICO-SANITARIOS;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;18150,00;0,00;18150,00;18150,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;111;92501;63901;2021/000272;2021/000272;OFICINAS ATENCIÓN AL CIUDADANO LÍNEA MADRID. SEÑALIZACIÓN;998;VARIOS DISTRITOS;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;00;ATENCIÓN AL CIUDADANO;;;;;;;18150,00;0,00;18150,00;18150,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2019/003610;2019/003610;EDIFICIO DEL ESCUADRON DE LA POLICÍA MUNICIPAL. MEJORA FUNCIONALIDAD DE LAS CUADRAS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;199500,00;0,00;199500,00;180000,00;0,00;19500,00;19500,00;13221,90;0,00;13221,90
;;001;120;13000;63200;2019/003616;2019/003616;PARQUE DE BOMBEROS Nº 8, PUENTE DE VALLECAS. OBRA DE REHABILITACIÓN INTEGRAL (II FASE);213;PUENTE DE VALLECAS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;443870,00;0,00;443870,00;350000,00;0,00;93870,00;93870,00;91929,79;0,00;91929,79
;;001;120;13000;63200;2020/000301;2020/000301;PARQUE DE BOMBEROS Nº 5. INSTALACIÓN DE CAMPA PROVISIONAL;212;USERA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;525687,00;0,00;525687,00;0,33;0,00;525686,67;525686,67;502231,89;0,00;502231,89
;;001;120;13000;63200;2020/000717;2020/000717;PARQUE DE BOMBEROS Nº 8. REFORMA TORRE MANIOBRAS Y DEPENDENCIAS FORMACIÓN BOMBEROS;213;PUENTE DE VALLECAS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;2249573,00;0,00;2249573,00;250000,68;0,00;1999572,32;1999572,32;104299,60;0,00;104299,60
;;001;120;13000;63200;2020/000816;2020/000816;UNIDAD INTEGRAL POLICÍA MUNICIPAL CENTRO NORTE. ACONDICIONAMIENTO CARPINTERÍAS EXTERIORES;201;CENTRO;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;120000,00;4289,47;124289,47;0,00;0,00;124289,47;124289,47;109461,13;0,00;109461,13
;;001;120;13000;63200;2020/000822;2020/000822;UNIDAD INTEGRAL POLICÍA MUNICIPAL FUENCARRAL-EL PARDO. OBRAS ACONDICIONAMIENTO Y VESTUARIOS;208;FUENCARRAL-EL PARDO;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;743084,00;49805,59;792889,59;0,00;0,00;792889,59;792889,59;264492,49;0,00;264492,49
;;001;120;13000;63200;2020/000836;2020/000836;UNIDAD INTEGRAL POLICÍA MUNICIPAL BARAJAS. OBRAS SUBSANACIÓN INSPECCIÓN TÉCNICA EDIFICIOS;221;BARAJAS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;65000,00;109639,93;174639,93;0,00;0,00;174639,93;174639,93;73961,79;0,00;73961,79
;;001;120;13000;63200;2021/000011;2021/000011;EDIFICIO C/ PRÍNCIPE DE VERGARA, 140. CERRAMIENTO DESPACHOS Y SALAS DE REUNIONES;205;CHAMARTIN;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;14705,00;0,00;14705,00;14705,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000399;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;212;USERA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;1489015,00;199985,00;1689000,00;1689000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000402;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;207;CHAMBERI;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;150000,00;-65219,99;84780,01;84780,01;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000406;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;202;ARGANZUELA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;298500,00;-298500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000407;2021/000407;EDIFICIO BANDA POLICÍA MUNICIPAL C/TOMÁS SANZ, 8. SUBSANACIÓN INSPECCIÓN TÉCNICA DE EDIFICIOS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;16500,00;0,00;16500,00;16500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000408;2021/000408;"EDIFICIO ""S"" LA PIPA POLICÍA MUNICIPAL, AV. PRINCIPAL. ACONDICIONAMIENTO ALMACÉN";209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;13500,00;0,00;13500,00;13500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000409;2021/000409;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE ACONDICIONAMIENTO;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;85000,00;0,00;85000,00;85000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63200;2021/000410;2021/000410;BASE 1 SAMUR-PROTECCIÓN CIVIL. OBRAS DE ACONDICIONAMIENTO;217;VILLAVERDE;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;27000,00;0,00;27000,00;27000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000402;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;207;CHAMBERI;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;700000,00;700000,00;700000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000406;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;202;ARGANZUELA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;2400000,00;2400000,00;2400000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000407;2021/000407;EDIFICIO BANDA POLICÍA MUNICIPAL C/TOMÁS SANZ, 8. SUBSANACIÓN INSPECCIÓN TÉCNICA DE EDIFICIOS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;165000,00;165000,00;165000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000408;2021/000408;"EDIFICIO ""S"" LA PIPA POLICÍA MUNICIPAL, AV. PRINCIPAL. ACONDICIONAMIENTO ALMACÉN";209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;135000,00;135000,00;135000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000409;2021/000409;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE ACONDICIONAMIENTO;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;0,00;550000,00;550000,00;550000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000410;2021/000410;BASE 1 SAMUR-PROTECCIÓN CIVIL. OBRAS DE ACONDICIONAMIENTO;217;VILLAVERDE;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;0,00;270000,00;270000,00;270000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/000447;2021/000447;ESCUADRÓN DE LA POLICÍA MUNICIPAL. OBRAS REFORMA PICADERO;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;520000,00;520000,00;520000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/001091;2021/001091;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. OBRAS DE REPARACIÓN;210;LATINA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;56800,00;56800,00;56800,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/001092;2021/001092;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS. OBRAS ADECUACIÓN FALSO SUELO;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;100000,00;100000,00;100000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;120;13000;63200;2021/001094;2021/001094;COMISARÍA MIXTA AV. OSA MAYOR, 72. OBRAS DE ACONDICIONAMIENTO;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;143000,00;143000,00;143000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13000;63500;2021/000004;2021/000004;SERVICIOS ADMINISTRATIVOS ÁREA PORTAVOZ, SEGURIDAD Y EMERGENCIAS. MOBILIARIO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13001;62301;2020/000312;2020/000312;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. INSTALACIONES TÉCNICAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;8242,33;8242,33;0,00;0,00;8242,33;8242,33;0,00;0,00;0,00
;;001;120;13001;62301;2021/000041;2021/000041;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. INSTALACIONES TECNICAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;15000,00;-8242,33;6757,67;6757,67;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13001;62301;2021/000411;2021/000411;CENTRO INTEGRADO SEGURIDAD Y EMERGENCIAS. INSTALACIONES SEMÁFOROS GARAJE;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;7000,00;0,00;7000,00;7000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13001;62500;2021/000047;2021/000047;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;1000,00;0,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13001;62599;2021/000047;2021/000047;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;42000,00;0,00;42000,00;15303,16;0,00;26696,84;26696,84;26696,84;0,00;26696,84
;;001;120;13001;62601;2021/000412;2021/000412;CENTRO INTEGRADO FORMACIÓN SEGURIDAD Y EMERGENCIAS. PIZARRAS DIGITALES Y MEMORIAS EXTERNAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;4500,00;0,00;4500,00;4500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13001;63600;2021/000049;2021/000049;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIAD Y EMERGENCIAS. EQUIPOS DE COMUNICACION;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;29000,00;0,00;29000,00;29000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13001;64100;2021/000051;2021/000051;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. APLICACIONES INFORMATICAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;27000,00;0,00;27000,00;27000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13201;62300;2021/000024;2021/000024;SERVICIOS POLICÍA MUNICIPAL. MAQUINARIA;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;18000,00;0,00;18000,00;18000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13201;62302;2021/000029;2021/000029;SERVICIOS POLICÍA MUNICIPAL. ÚTILES Y HERRAMIENTAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;100000,00;0,00;100000,00;100000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13201;62500;2021/000034;2021/000034;UNIDADES Y DEPENDENCIAS POLICÍA MUNICIPAL. MOBILIARIO PARA PROTECCIÓN HIGIÉNICO-SANITARIA;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;163341,00;-28079,76;135261,24;135261,24;0,00;0,00;0,00;0,00;0,00;0,00
;;001;120;13201;62500;2021/000034;2021/010034;DEPENDENCIAS DIRECCIÓN GENERAL POLICÍA MUNICIPAL. MAMPARAS Y ELEMENTOS PROTECTORES;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;1810,16;1810,16;0,00;0,00;1810,16;1810,16;0,00;0,00;0,00
