Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;1102;92012;63301;827;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000082;SERVICIOS COORDINACIÓN GENERAL ALCALDIA. INSTALACIONES;1102;92012;63301;2.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000075;EQUIPAMIENTO SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA;1110;92010;62500;50.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000075;EQUIPAMIENTO SERVICIOS ÁREA DE GOBIERNO DE VICEALCALDÍA;1110;92010;62599;5.500,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000153;LICENCIAS DE PROGRAMAS INFORMÁTICOS PARA EL ÁREA DE GOBIERNO DE VICEALCALDÍA;1110;92010;64100;2.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000176;OFICINAS DE ATENCIÓN AL CIUDADANAO LÍNEA MADRID. MOBILIARIO;1111;92501;62500;150.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2020/000174;EQUIPAMIENTO OFICINAS DE ATENCIÓN AL CIUDADANO LÍNEA MADRID;1111;92501;62599;30.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2020/000172;OFICINAS DE ATENCIÓN AL CIUDADANO LÍNEA MADRID. SEÑALIZACIÓN;1111;92501;62901;8.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2020/000176;OFICINAS DE ATENCIÓN AL CIUDADANAO LÍNEA MADRID. MOBILIARIO;1111;92501;63500;75.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2020/000174;EQUIPAMIENTO OFICINAS DE ATENCIÓN AL CIUDADANO LÍNEA MADRID;1111;92501;63599;2.000,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2020/000172;OFICINAS DE ATENCIÓN AL CIUDADANO LÍNEA MADRID. SEÑALIZACIÓN;1111;92501;63901;18.150,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;0;ATENCIÓN AL CIUDADANO;998;VARIOS DISTRITOS
2018/000002;EDIFICIOS SERVICIOS BOMBEROS Y CENTRO FORMACIÓN SEGURIDAD Y EMERGENCIAS. OBRAS DE REFORMA;1120;13000;63200;2.476.620,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1;BOMBEROS;998;VARIOS DISTRITOS
2020/000190;EDIFICIOS SERVICIOS POLICÍA MUNICIPAL Y SAMUR. OBRAS DE REFORMA.;1120;13000;63200;306.857,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;2;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2020/000301;PARQUE DE BOMBEROS Nº 5. INSTALACIÓN DE CAMPA PROVISIONAL;1120;13000;63200;500.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1;BOMBEROS;212;USERA
2020/000303;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS. ADECUACIÓN SUELO VINÍLICO;1120;13000;63200;30.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;209;MONCLOA-ARAVACA
2020/000312;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. INSTALACIONES TÉCNICAS;1120;13001;62301;19.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000313;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS;1120;13001;62500;1.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000313;EQUIPAMIENTO CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS;1120;13001;62599;43.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000314;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. EQUIPOS DE COMUNICACIÓN;1120;13001;63600;9.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000299;SERVICIOS POLICÍA MUNICIPAL. DISPOSITIVOS MÓVILES SISTEMA INFORMACIÓN MOVIPOL;1120;13201;62601;600.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000302;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). PANTALLAS PARA OPERADORES;1120;13201;62601;40.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000298;SERVICIOS POLICÍA MUNICIPAL. DISPOSITIVOS ELECTRÓNICOS DE CONTROL;1120;13201;62999;600.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000300;SERVICIOS POLICÍA MUNICIPAL. ADQUISICIÓN DE DRONES;1120;13201;62999;550.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;0;POLICIA MUNICIPAL;998;VARIOS DISTRITOS
2020/000310;SERVICIOS SAMUR-PROTECCIÓN CIVIL. EQUIPOS DE COMUNICACIÓN;1120;13510;62600;150.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;2;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2018/006618;HISTORIA CLÍNICA ELECTRÓNICA PROCESO ASISTENCIAL SAMUR;1120;13510;64100;284.500,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;2;SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS
2020/000311;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). INSTALACIONES TÉCNICAS;1120;13610;62301;150.000,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1;BOMBEROS;998;VARIOS DISTRITOS
2020/000311;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). INSTALACIONES TÉCNICAS;1120;13610;63301;541.250,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1;BOMBEROS;998;VARIOS DISTRITOS
2017/000107;APLICACIÓN INFORMÁTICA PARA LOS SERVICIOS DE BOMBEROS;1120;13610;64100;42.701,00;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1;BOMBEROS;998;VARIOS DISTRITOS
2020/000002;SERVICIOS COMUNICACIÓN ÁREA PORTAVOZ, SEGURIDAD Y EMERGENCIAS. ÚTILES Y HERRAMIENTAS;1120;92202;62302;20.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000003;EQUIPAMIENTO SERVICIOS COMUNICACIÓN, ÁREA PORTAVOZ, SEGURIDAD Y EMERGENCIAS;1120;92202;62500;10.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000003;EQUIPAMIENTO SERVICIOS COMUNICACIÓN, ÁREA PORTAVOZ, SEGURIDAD Y EMERGENCIAS;1120;92202;62599;1.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000027;SERVICIOS COMUNICACIÓN ÁREA PORTAVOZ, SEGURIDAD Y EMERGENCIAS. MATERIAL INFORMÁTICO;1120;92202;62601;6.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000092;SERVICIOS ADMINISTRATIVOS DE CULTURA, TURISMO Y DEPORTE. INSTALACIONES TÉCNICAS;1130;33000;62301;34.040,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000090;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS CULTURA, TURISMO Y DEPORTE;1130;33000;62500;5.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000090;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS CULTURA, TURISMO Y DEPORTE;1130;33000;62599;4.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000085;SERVICIOS ADMINISTRATIVOS CULTURA, TURISMO Y DEPORTE. SEÑALIZACIÓN;1130;33000;62901;4.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000086;SEÑALIZACIÓN DE BIBLIOTECAS PÚBLICAS MUNICIPALES;1130;33210;62901;18.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2020/000083;UNIDAD TÉCNICA DE BIBLIOTECAS. ADQUISICIÓN DE LIBROS;1130;33210;62999;270.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2020/000084;UNIDAD TÉCNICA DE BIBLIOTECAS. ADQUISICIÓN DE MATERIAL MULTIMEDIA Y AUDIOVISUAL;1130;33210;62999;56.955,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2019/000536;SISTEMA DE ALMACENAMIENTO ESPECÍFICO PARA LA BIBLIOTECA DIGITAL;1130;33210;63601;30.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2020/000087;EQUIPAMIENTO ARCHIVO DE VILLA;1130;33220;62599;18.000,00;10;CULTURA;1;ARCHIVOS Y PATRIMONIO DOCUMENTAL;201;CENTRO
2020/000087;EQUIPAMIENTO ARCHIVO DE VILLA;1130;33220;63599;72.909,00;10;CULTURA;1;ARCHIVOS Y PATRIMONIO DOCUMENTAL;201;CENTRO
2020/000087;EQUIPAMIENTO ARCHIVO DE VILLA;1130;33220;63601;15.500,00;10;CULTURA;1;ARCHIVOS Y PATRIMONIO DOCUMENTAL;201;CENTRO
2019/000192;MUSEOGRAFÍA TEMPLO DE DEBOD: RENOVACIÓN INTEGRAL;1130;33301;63999;40.500,00;10;CULTURA;2;MUSEOS Y COLECCIONES;209;MONCLOA-ARAVACA
2020/000107;PLACAS PLAN MEMORIA DE MADRID;1130;33401;60900;7.100,00;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2020/000113;RESTAURACIÓN DEL BELÉN DEL AYUNTAMIENTO DE MADRID;1130;33401;63900;3.000,00;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;203;RETIRO
2020/000106;ADQUISICIÓN DE INSTRUMENTOS MUSICALES PARA LA BANDA SINFÓNICA MUNICIPAL;1130;33405;62999;25.000,00;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2020/000110;ADQUISICIÓN DE PARTITURAS PARA LA BANDA SINFONICA MUNICIPAL;1130;33405;64001;5.000,00;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2018/005292;MONUMENTO A LAS VÍCTIMAS DEL YAK-42;1130;33601;60900;50.091,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;209;MONCLOA-ARAVACA
2020/000032;MONUMENTO VÍCTIMAS DEL TERRORISMO;1130;33601;60900;300.000,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;204;SALAMANCA
2020/000035;INSTALACIÓN ARTÍSTICA DE PEDESTAL DE LA PLAZA DE COLÓN;1130;33601;60900;30.000,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;204;SALAMANCA
2020/000038;INTERVENCIÓN ARTISTICA EN LA PLAZA DE ESPAÑA;1130;33601;60900;30.000,00;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;209;MONCLOA-ARAVACA
2018/005261;ERMITA DE SAN ROQUE.RESTAURACION;1130;33601;61900;45.735,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;208;FUENCARRAL-EL PARDO
2018/005285;MONUMENTO A LAS VÍCTIMAS DEL 11-M DE ATOCHA. REFORMA;1130;33601;61900;261.182,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;203;RETIRO
2020/000045;REHABILITACIÓN PATRIMONIO HISTÓRICO. ESTATUAS Y MONUMENTOS;1130;33601;61900;29.293,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;998;VARIOS DISTRITOS
2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;1130;33601;62200;1.785.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;212;USERA
2016/000295;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";1130;33601;63200;85.000,00;10;CULTURA;2;MUSEOS Y COLECCIONES;221;BARAJAS
2016/000575;BIBLIOTECA PÚBLICA JOSÉ SARAMAGO. OBRAS DE REHABILITACIÓN Y REPARACIÓN;1130;33601;63200;3.107,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;208;FUENCARRAL-EL PARDO
2018/000484;FRONTÓN BETI JAI. REHABILITACIÓN;1130;33601;63200;443.667,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;207;CHAMBERI
2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";1130;33601;63200;994.000,00;10;CULTURA;2;MUSEOS Y COLECCIONES;221;BARAJAS
2019/000525;BIBLIOTECA PÚBLICA ÁNGEL GONZÁLEZ. ADECUACIÓN SISTEMA CLIMATIZACIÓN;1130;33601;63200;15.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;210;LATINA
2019/000526;BIBLIOTECA PÚBLICA ANA MARÍA MATUTE. ADECUACIÓN SISTEMA CLIMATIZACIÓN;1130;33601;63200;15.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;211;CARABANCHEL
2018/000343;PABELLÓN DE BANCADAS DE LA CASA DE CAMPO. REHABILITACIÓN;1130;33601;63900;141.570,00;10;CULTURA;4;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;209;MONCLOA-ARAVACA
2019/000524;IMPRENTA MUNICIPAL-ARTES DEL LIBRO. ADECUACIÓN SISTEMA CLIMATIZACIÓN;1130;33601;63900;174.942,00;10;CULTURA;2;MUSEOS Y COLECCIONES;201;CENTRO
2019/000527;MUSEO DE SAN ISIDRO. OBRAS ADECUACIÓN PARA SOSTENIBILIDAD;1130;33601;63900;250.000,00;10;CULTURA;2;MUSEOS Y COLECCIONES;201;CENTRO
2019/000528;MUSEO DE HISTORIA DE MADRID. ADECUACIÓN SISTEMA CLIMATIZACIÓN;1130;33601;63900;15.000,00;10;CULTURA;2;MUSEOS Y COLECCIONES;201;CENTRO
2019/000530;BIBLIOTECA PÚBLICA IVÁN DE VARGAS. ADECUACIÓN SISTEMA CLIMATIZACIÓN;1130;33601;63900;15.000,00;10;CULTURA;0;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;201;CENTRO
2019/000531;CUARTEL CONDE DUQUE. ADECUACIÓN PROTECCIÓN CONTRA INCENDIOS;1130;33601;63900;110.000,00;10;CULTURA;4;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;201;CENTRO
2019/000532;CUARTEL CONDE DUQUE. ADECUACIÓN INSTALACIÓN ELÉCTRICA E ILUMINACIÓN;1130;33601;63900;145.000,00;10;CULTURA;4;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;201;CENTRO
2019/000556;MUSEO DE ARTE CONTEMPORÁNEO. OBRAS DE ACONDICIONAMIENTO;1130;33601;63900;50.000,00;10;CULTURA;2;MUSEOS Y COLECCIONES;201;CENTRO
2019/000708;CUARTEL CONDE DUQUE. MONITORIZACIÓN DE CLIMATIZACIÓN;1130;33601;63900;250.000,00;10;CULTURA;4;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;201;CENTRO
2020/000039;REHABILITACIÓN PATRIMONIO HISTORICO. EDIFICIOS;1130;33601;63900;65.711,00;10;CULTURA;4;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;998;VARIOS DISTRITOS
2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;1130;33601;63900;200.000,00;10;CULTURA;4;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;209;MONCLOA-ARAVACA
2020/000011;NUEVA SEDE DIRECCIÓN GENERAL DE DEPORTE. MOBILIARIO;1131;34102;62500;41.800,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000030;NUEVA SEDE DE LA DIRECCIÓN GENERAL DE DEPORTE. SEÑALIZACIÓN;1131;34102;62901;18.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000056;EQUIPAMIENTO ESTADIO DE ATLETISMO VALLEHERMOSO;1131;34201;62599;3.300,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;207;CHAMBERI
2020/000053;ESTADIO DE ATLETISMO VALLEHERMOSO. SEÑALIZACIÓN;1131;34201;62901;17.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;207;CHAMBERI
2020/000205;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA ECONOMÍA, INNOVACIÓN Y EMPLEO;1140;43300;62500;35.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000020;FACTORÍAS INDUSTRIALES. INSTALACIONES;1140;43301;62301;26.000,00;14;SECTORES PRODUCTIVOS;1;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000021;EQUIPAMIENTO FACTORÍAS INDUSTRIALES;1140;43301;62500;82.000,00;14;SECTORES PRODUCTIVOS;1;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000021;EQUIPAMIENTO FACTORÍAS INDUSTRIALES;1140;43301;62599;5.500,00;14;SECTORES PRODUCTIVOS;1;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2019/000020;FACTORÍAS INDUSTRIALES. INSTALACIONES;1140;43301;63301;3.000,00;14;SECTORES PRODUCTIVOS;1;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2018/005023;EQUIPOS AUDIOVISUALES DE LA NAVE. INSTALACIÓN;1141;46300;62301;530.366,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;217;VILLAVERDE
2018/005014;COMPRA PÚBLICA DE INNOVACIÓN. MEDICIÓN EMISIONES GASEOSAS DE VALDEMINGÓMEZ;1141;46300;64099;104.175,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;218;VILLA DE VALLECAS
2018/005015;COMPRA PÚBLICA DE INNOVACIÓN. MEDICIÓN DE NANOPARTÍCULAS;1141;46300;64099;347.239,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;998;VARIOS DISTRITOS
2018/005016;COMPRA PÚBLICA DE INNOVACIÓN. DETECCIÓN REMOTA VEHÍCULOS ALTAMENTE CONTAMINANTES;1141;46300;64099;939.644,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;998;VARIOS DISTRITOS
2018/005018;COMPRA PÚBLICA DE INNOVACIÓN. CARRO DE LIMPIEZA CON ASISTENCIA ELÉCTRICA;1141;46300;64099;498.080,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;998;VARIOS DISTRITOS
2018/005019;COMPRA PÚBLICA DE INNOVACIÓN. SENSORES EN PAPELERAS PARA OPTIMIZAR RECOGIDA DE RESIDUOS;1141;46300;64099;349.725,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;998;VARIOS DISTRITOS
2018/005022;COMPRA PÚBLICA DE INNOVACION.CARGA VEHÍCULOS ELÉCTRICOS EN LA NAVE CON ENERGÍAS RENOVABLES;1141;46300;64099;664.699,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;217;VILLAVERDE
2018/008211;SEÑALIZACIÓN VIARIO EN CALLES CON POCA VISIBILIDAD DISTRITO DE SAN BLAS-CANILLEJAS (ID: 633);1150;13301;60912;18.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;220;SAN BLAS
2017/000542;AVISADORES ACÚSTICOS SEMAFOROS;1150;13301;62300;404.628,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/000347;ASDQUISICIÓN DE BICICLETAS Y SU EQUIPO PARA LOS SERVICIOS DE MOVILIDAD;1150;13301;62400;5.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2020/000140;SERVICIOS AGENTES DE MOVILIDAD. MOBILIARIO SALÓN DE ACTOS;1150;13301;62500;70.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000348;PROYECTO CRUCES SEMAFORIZADOS;1150;13301;62799;1.168.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/000349;PANELES MENSAJES VARIABLES INTEGRADOS SERVICIOS DE TRÁFICO;1150;13301;62799;348.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/003340;NUEVOS DISPOSITIVOS FOTOROJO SERVICIOS DE TRÁFICO;1150;13301;62799;125.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/009186;SEMÁFOROS CON PRIORIDAD DE AUTOBÚS. INSTALACIÓN (ID: 12122);1150;13301;62799;100.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2020/000143;INSTALACIÓN DE LECTORES DE MATRÍCULA;1150;13301;62799;250.000,00;2;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;0;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
