Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;;
;;001;120;13000;63200;2021/000399;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;212;USERA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;1391867,00;-232626,75;1159240,25;1064598,19;0,00;94642,06;94642,06;94642,06;0,00;94642,06;;
;;001;120;13000;63200;2021/000402;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;207;CHAMBERI;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;287423,00;0,00;287423,00;82205,10;0,00;205217,90;205217,90;140283,78;0,00;140283,78;;
;;001;120;13000;63200;2021/000406;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;202;ARGANZUELA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;995000,00;0,00;995000,00;462904,29;0,00;532095,71;532095,71;495103,20;0,00;372165,38;;
;;001;120;13000;63200;2022/000416;2022/000416;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). OBRAS DE REFORMA;204;SALAMANCA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;289436,00;0,00;289436,00;289436,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;63200;2022/000418;2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;227547,00;0,00;227547,00;110936,65;0,00;116610,35;116610,35;116610,35;0,00;116610,35;;
;;001;120;13000;63200;2022/000423;2022/000423;UNIDAD INTEGRAL POLICÍA MUNICIPAL TETUÁN. OBRAS REFORMA AISLAMIENTO FACHADA;206;TETUAN;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;57462,75;57462,75;0,00;0,00;57462,75;57462,75;57462,75;0,00;57462,75;;
;;001;120;13000;63200;2022/000424;2022/000424;BASE 10 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;206;TETUAN;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;54000,00;-17904,03;36095,97;0,00;0,00;36095,97;36095,97;36095,97;0,00;36095,97;;
;;001;120;13000;63200;2022/001353;2022/001353;EDIFICIO SECCIÓN BANDA POLICÍA MUNICIPAL. REFORMA Y ACONDICIONAMIENTO EXTERIOR;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;45000,00;-10890,65;34109,35;0,00;0,00;34109,35;34109,35;34109,35;0,00;34109,35;;
;;001;120;13000;63200;2022/001496;2022/001496;UNIDAD INTEGRAL POLICÍA CHAMBERÍ. SUBSANACIÓN DEFICIENCIAS INSPECCIÓN TÉCNICA EDIFICIOS;207;CHAMBERI;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;145000,00;-85562,30;59437,70;59437,70;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;63200;2023/001041;2023/001041;EDIFICIO MADRID MASTER. SUBSANACIÓN DEFICIENCIAS INSPECCIÓN TÉCNICA DE EDIFICIOS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;1419334,00;0,00;1419334,00;138667,53;0,00;1280666,47;1280666,47;700429,75;0,00;480334,73;;
;;001;120;13000;63200;2023/001333;2023/001333;PARQUE DE BOMBEROS Nº 5. REFORMA DEL CUERPO DELANTERO;212;USERA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;2863950,00;0,00;2863950,00;324000,43;0,00;2539949,57;2539949,57;2148129,54;0,00;2148129,54;;
;;001;120;13000;63200;2023/001526;2023/001526;CENTRO INTEGRADO FORMACIÓN SEGURIDAD Y EMERGENCIAS. CONSERVACIÓN Y ACONDICIONAMIENTO INTERIOR;210;LATINA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;68005,00;0,00;68005,00;15000,35;0,00;53004,65;53004,65;43466,75;0,00;43466,75;;
;;001;120;13000;63200;2023/001530;2023/001530;PARQUE DE BOMBEROS Nº 9. OBRAS REFORMA Y AMPLIACIÓN EN SÓTANO, EDIFICIO GIMNASIO Y COCHERAS TRASERAS;208;FUENCARRAL-EL PARDO;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;3428129,00;-167373,25;3260755,75;600000,00;0,00;2660755,75;2660755,75;842118,45;0,00;842118,45;;
;;001;120;13000;63200;2024/000347;2024/000347;OBRA REFORMA BASE 0 SAMUR. PLANTA BAJA Y PRIMERA DEL EDIFICIO 2.;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;500000,00;0,00;500000,00;500000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;63200;2024/001131;2024/001131;CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS (CISEM). ADECUACIÓN SISTEMA DE DETECCIÓN DE INCENDIOS;204;SALAMANCA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;179748,23;179748,23;0,00;0,00;179748,23;179748,23;0,00;0,00;0,00;;
;;001;120;13000;63200;2024/001156;2024/001156;UNIDAD INTEGRAL DE POLICÍA MUNICIPAL DEL DISTRITO DE TETUÁN. ADECUACIÓN DE LA CLIMATIZACIÓN;206;TETUAN;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;200000,00;200000,00;200000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;63200;2024/001247;2024/001247;PARQUE DE BOMBEROS NÚMERO 9, EDIFICIO OESTE. OBRAS DE REFORMA Y AMPLIACIÓN;208;FUENCARRAL-EL PARDO;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;400000,00;400000,00;0,00;0,00;400000,00;400000,00;0,00;0,00;0,00;;
;;001;120;13000;63200;2024/001280;2024/001280;EDIFICIO C/ PRÍNCIPE DE VERGARA, 140. OBRAS ACONDICIONAMIENTO DE DESPACHO;205;CHAMARTIN;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;3146,00;3146,00;3146,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;63200;2024/001282;2024/001282;SALA PRENSA GARAJE C/ SACRAMENTO, 4. MEJORAS Y ACTUALIZACIÓN INSTALACIONES;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;48500,00;48500,00;48500,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;63301;2024/001171;2024/001171;EDIFICIO C/ PRÍNCIPE DE VERGARA, 140. ADECUACIÓN DE LAS INSTALACIONES DE CLIMATIZACIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;14100,00;14100,00;499,37;0,00;13600,63;13600,63;0,00;0,00;0,00;;
;;001;120;13000;63301;2024/001300;2024/001300;EDIFICIO CALLE PRÍNCIPE DE VERGARA, 140. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;2200,00;2200,00;2200,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13001;62301;2024/000087;2024/000087;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. INSTALACIONES TÉCNICAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;325000,00;0,00;325000,00;325000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13001;62302;2024/001095;2024/001095;OTRO EQUIPAMIENTO DEL CENTRO INTEGRAL FORMACIÓN SEGURIDAD Y EMERGENCIAS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;900,00;900,00;43,48;0,00;856,52;856,52;856,52;0,00;856,52;;
;;001;120;13001;62599;2024/000101;2024/000101;CENTRO INTEGRADO DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. OTRO MOBILIARIO Y ENSERES;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;1800,00;1800,00;2,01;0,00;1797,99;1797,99;1797,99;0,00;1797,99;;
;;001;130;33210;62901;2023/000189;2024/001026;BIBLIOTECA PÚBLICA BENITO PÉREZ GALDÓS. SEÑALÉTICA EXTERIOR;201;CENTRO;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;434,06;434,06;0,00;0,00;434,06;434,06;434,06;0,00;434,06;;
;;001;130;33210;62901;2023/000189;2024/001027;BIBLIOTECA PÚBLICA CANILLEJAS. SEÑALÉTICA EXTERIOR;220;SAN BLAS-CANILLEJAS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001028;BIBLIOTECA PÚBLICA CIUDAD LINEAL. SEÑALÉTICA EXTERIOR;215;CIUDAD LINEAL;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;220,50;220,50;0,00;0,00;220,50;220,50;220,50;0,00;220,50;;
;;001;130;33210;62901;2023/000189;2024/001029;BIBLIOTECA PÚBLICA DÁMASO ALONSO. SEÑALÉTICA EXTERIOR;205;CHAMARTIN;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;504,04;504,04;0,00;0,00;504,04;504,04;504,04;0,00;504,04;;
;;001;130;33210;62901;2023/000189;2024/001030;BIBLIOTECA PÚBLICA LA ELIPA. SEÑALÉTICA EXTERIOR;215;CIUDAD LINEAL;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2135,46;2135,46;0,00;0,00;2135,46;2135,46;2135,46;0,00;2135,46;;
;;001;130;33210;62901;2023/000189;2024/001031;BIBLIOTECA PÚBLICA FRANCISCO IBÁÑEZ. SEÑALÉTICA EXTERIOR;205;CHAMARTIN;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001032;BIBLIOTECA PÚBLICA GABRIEL GARCÍA MÁRQUEZ. SEÑALÉTICA EXTERIOR;212;USERA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001033;BIBLIOTECA PÚBLICA GERARDO DIEGO. SEÑALÉTICA EXTERIOR;218;VILLA DE VALLECAS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001034;BIBLIOTECA PÚBLICA HUERTA DE LA SALUD. SEÑALÉTICA EXTERIOR;216;HORTALEZA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;557,43;557,43;0,00;0,00;557,43;557,43;557,43;0,00;557,43;;
;;001;130;33210;62901;2023/000189;2024/001035;BIBLIOTECA PÚBLICA JOSÉ HIERRO. SEÑALÉTICA EXTERIOR;220;SAN BLAS-CANILLEJAS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;3552,58;3552,58;0,00;0,00;3552,58;3552,58;3552,58;0,00;3552,58;;
;;001;130;33210;62901;2023/000189;2024/001036;BIBLIOTECA PÚBLICA LA CHATA. SEÑALÉTICA EXTERIOR;211;CARABANCHEL;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;455,11;455,11;0,00;0,00;455,11;455,11;455,11;0,00;455,11;;
;;001;130;33210;62901;2023/000189;2024/001037;BIBLIOTECA PÚBLICA MARÍA LEJARRA. SEÑALÉTICA EXTERIOR;216;HORTALEZA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;846,58;846,58;0,00;0,00;846,58;846,58;846,58;0,00;846,58;;
;;001;130;33210;62901;2023/000189;2024/001038;BIBLIOTECA PÚBLICA MARÍA ZAMBRANO. SEÑALÉTICA EXTERIOR;206;TETUAN;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001039;BIBLIOTECA PÚBLICA MIGUEL DELIBES. SEÑALÉTICA EXTERIOR;214;MORATALAZ;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001040;BIBLIOTECA PÚBLICA PABLO NERUDA. SEÑALÉTICA EXTERIOR;215;CIUDAD LINEAL;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2023/000189;2024/001041;BIBLIOTECA PÚBLICA POZO DEL TÍO RAIMUNDO. SEÑALÉTICA EXTERIOR;213;PUENTE DE VALLECAS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;2208,76;2208,76;0,00;0,00;2208,76;2208,76;2208,76;0,00;2208,76;;
;;001;130;33210;62901;2024/000402;2024/000402;BIBLIOTECAS PÚBLICAS. SEÑALÉTICA;998;VARIOS DISTRITOS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;40000,00;0,00;40000,00;40000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;130;33210;62999;2024/000081;2024/000081;UNIDAD TÉCNICA DE BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE LIBROS;998;VARIOS DISTRITOS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;1045363,00;-80000,00;965363,00;533772,18;0,00;431590,82;431590,82;169859,72;0,00;144443,57;;
;;001;130;33210;62999;2024/001129;2024/001129;UNIDAD TÉCNICA DE BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE MATERIAL AUDIOVISUAL Y MULTIMEDIA;998;VARIOS DISTRITOS;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;80000,00;80000,00;80000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
