CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado
001100;91230;05;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1
001100;91230;05;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;10
001100;91230;05;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;12
001100;91230;05;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;NÚMERO/AÑO;142
001100;91230;05;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;NÚMERO/AÑO;2
001100;91230;05;02;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO/AÑO;9
001100;91230;05;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA SEDE DE LA PRESIDENCIA DEL PLENO;NÚMERO/AÑO;1
001100;91240;01;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;21
001100;91240;01;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;170
001100;91240;02;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5
001100;91240;02;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1
001100;91240;02;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;10
001100;91240;02;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;12
001100;91240;02;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;NÚMERO/AÑO;34
001100;91240;02;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;NÚMERO/AÑO;2
001100;91240;02;02;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO/AÑO;2
001100;91240;02;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA ADSCRITO A LOS GRUPOS POLÍTICOS MUNICIPALES;NÚMERO/AÑO;1
001101;91201;01;01;Reuniones;NÚMERO;350
001101;91201;01;02;Plenos;NÚMERO;16
001101;91201;01;03;Juntas de Gobierno presididas;NÚMERO;45
001102;49101;01;;;;0
001102;49102;01;01;Proyectos en materia de transformación digital, inclusión y administración digital;NÚMERO;12
001102;49102;01;02;Proyectos de desarrollo de soluciones basadas en tecnol. 5g;NÚMERO;8
001102;49102;01;03;Reforzar la difusión transf. digital ayto.;NÚMERO;60
001102;49102;01;04;Iniciativas de capacitacion e inclusión en transf. digital;NÚMERO;25
001102;49102;01;05;Casos de uso innovadores para el fomento del Govtech;NÚMERO;10
001102;49102;01;06;Espacios urbanos inteligentes;NÚMERO;5
001102;49102;02;07;Coordinación e impulso en la implantación del gemelo digital en el ayto. Madrid y sus OOPP.;NÚMERO;4
001102;49102;02;06;Coordinación e impulso de proyectos de inteligencia artificial del ayto. Madrid y sus oopp.;NÚMERO;5
001102;49102;02;05;Elaboración y difusión de indicadores de admón. digital;NÚMERO;8
001102;49102;02;04;Participacion grupos nacionales e internac. de inteligencia artificial y analítica datos;NÚMERO;8
001102;49102;02;03;Participacion en jornadas sobre inteligencia artificial, gestión de datos y analitica;NÚMERO;20
001102;49102;02;02;Implantación de la herramienta del gobierno del dato;NÚMERO;50
001102;49102;02;01;Impulso proyectos de la estrategia datos del ayto. Madrid y sus oopp.;NÚMERO;5
001102;49102;03;01;Desarrollo de proyectos de digitalización y automatización;NÚMERO;5
001102;49102;03;02;Auditorias y servicios en la plat. intermediación datos;NÚMERO;5
001102;49102;03;03;Proyectos sede electrónica y carpeta ciudadano;NÚMERO;2
001102;49102;03;04;Actuaciones atención y asesoramiento ciudadanos y gestores;NÚMERO;6000
001102;49102;03;05;Mejoras y nuevas gestiones en ayre y portal personal jubilado;NÚMERO;5
001102;49102;03;06;Elaboración de informes de simplificación de procedimientos y formularios tramitación;NÚMERO;100
001102;49179;01;;;;0
001102;91202;01;01;ACTIVIDADES PROGRAMADAS EN AGENDA;NÚMERO;450
001102;91202;01;02;ACTIVIDADES DE COORDINACIÓN CON GABINETES DE LAS ÁREAS DE GOBIERNO;NÚMERO;300
001102;91202;01;03;MINUTAS E INFORMES DE ASESORAMIENTO;NÚMERO;500
001102;91202;01;04;COMUNICACIONES, PETICIONES Y ESCRITOS GESTIONADOS;NÚMERO;6000
001102;92002;01;01;ESTUDIOS;NÚMERO;80
001102;92002;01;02;INFORMES;NÚMERO;90
001102;92002;01;03;PROPUESTAS;NÚMERO;45
001102;92002;02;01;ESTUDIOS Y ANÁLISIS;NÚMERO;60
001102;92002;02;02;ELABORACIÓN DE PROPUESTAS;NÚMERO;20
001102;92009;01;03;EXPEDIENTES DE BASTANTEOS;NÚMERO;550
001102;92009;01;02;INFORMES;NÚMERO;2500
001102;92009;01;01;PLEITOS;NÚMERO;13000
001102;92012;01;01;EXPEDIENTES DE PROVISIÓN DE PUESTOS DE TRABAJO;NÚMERO;165
001102;92012;01;02;RELACIONES DE PUESTOS DE TRABAJO ELABORADAS;NÚMERO;15
001102;92012;01;03;EXPEDIENTES DE CONCESIÓN DE FLEXIBILIDAD HORARIA;NÚMERO;70
001102;92012;02;01;EXPEDIENTES DE CONTRATACIÓN;NÚMERO/AÑO;10
001102;92012;02;02;TRAMITACIÓN DE CONTRATOS MENORES;NÚMERO/AÑO;125
001102;92012;02;03;DISMINUCIÓN DE INCIDENCIAS DE INSCRIPCIONES EN REGISTRO DE CONTRATOS;NÚMERO/AÑO;5
001102;92012;03;01;EXPEDIENTES DE CONTRATACIÓN QUE INCLUYAN CLÁUSULAS SOCIALES;NÚMERO/AÑO;5
001102;92012;04;01;NÚMERO DE EMPRESAS ADJUDICATARIAS DE LAS QUE SE OBTIENE INFORMACIÓN;NÚMERO/AÑO;5
001102;92012;05;01;INFORMES DE SEGUIMIENTO DE LA EJECUCIÓN DEL PRESUPUESTO;NÚMERO/AÑO;80
001102;92012;05;02;MODIFICACIONES DE CRÉDITO;NÚMERO/AÑO;30
001102;92012;05;03;DOCUMENTOS CONTABLES;NÚMERO/AÑO;750
001102;92012;05;04;EXPEDIENTES DE GASTO POR ANTICIPO DE CAJA FIJA;NÚMERO/AÑO;500
001102;92012;05;05;OTROS EXPEDIENTES DE GESTIÓN PRESUPUESTARIA;NÚMERO/AÑO;50
001102;92012;06;05;PLIEGOS DE PRESCRIPCIONES TÉCNICAS DE CONTRATOS ELABORADOS;NÚMERO;5
001102;92012;06;04;ACTUACIONES DE RÉGIMEN INTERIOR;NÚMERO;3500
001102;92012;06;03;MONTAJE DE ACTOS PÚBLICOS;NÚMERO;300
001102;92012;06;02;CONTRATOS GESTIONADOS A TRAVÉS DEL SISTEMA DE COMPRAS CENTRALIZADAS;NÚMERO;30
001102;92012;06;01;MANTENIMIENTO DE LOS EDIFICIOS ADSCRITOS;M2;16826
001102;92012;07;01;INFORMES JURÍDICOS;NÚMERO;45
001102;92012;07;02;EXPEDIENTES DE SUBVENCIONES Y CONVENIOS;NÚMERO;35
001102;92012;07;03;ACUERDOS DE JUNTA DE GOBIERNO Y DE PLENO;NÚMERO;80
001102;92012;07;04;INSCRIPCIONES LIBRO DE RESOLUCIONES;NÚMERO;230
001102;92012;07;05;GESTIÓN DE LA OFICINA DE REGISTRO DE ACREDITACIÓN DE FIRMA ELECTRÓNICA;NÚMERO;100
001102;92012;07;06;SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA;NÚMERO;20
001102;92012;08;01;ANOTACIONES REGISTRO;NÚMERO/AÑO;6000
001102;92206;01;01;Reuniones y sesiones en grupos de trabajo;NÚMERO;400
001102;92207;01;04;CELEBRACIÓN DE ENCUENTROS Y REUNIONES INTERNACIONALES EN MADRID;NÚMERO;10
001102;92207;01;03;PARTICIPACIÓN EN FOROS Y REUNIONES INTERNACIONALES Y NACIONALES;NÚMERO;20
001102;92207;01;02;PARTICIPACIÓN EN ORGANISMOS Y ASOCIACIONES INTERNACIONALES Y NACIONALES;NÚMERO;15
001102;92207;01;01;PARTICIPACIÓN EN ACTIVIDADES DE INSTITUCIONES DE LA UE;NÚMERO;15
001102;92207;02;01;VISITAS TECNICAS;NÚMERO;70
001102;92207;02;02;ACTIVIDADES CON OTRAS CIUDADES 0 PAÍSES;NÚMERO;200
001102;92207;02;03;ENCUENTROS INSTITUCIONALES INTERNACIONALES;NÚMERO;50
001102;92207;03;01;NÚMERO DE CONTRATOS EN LOS QUE SE INCLUYE CLÁUSULAS DE IGUALDAD;NÚMERO;1
001102;92207;04;01;DOCUMENTOS ANALIZADOS;NÚMERO;50
001102;92402;01;08;Campaña de promoción de la colaboración público privada;NÚMERO;1
001102;92402;01;07;Número de iniciativas de colaboración público privada desarrollados en el Foro;NÚMERO;22
001102;92402;01;06;Número de empresas especialmente comprometidas con políticas de igualdad de género;NÚMERO;7
001102;92402;01;05;Entidades que se adhieren al Foro para colaborar con el Ayuntamiento;NÚMERO;11
001102;92402;01;04;Herramientas puestas a disposición de las Áreas para incentivar la participación empresarial y la planificación y desarr;NÚMERO;3
001102;92402;01;03;Programas de colaboración para la promoción económica de la ciudad mediante subvenciones nominativas;NÚMERO;4
001102;92402;01;02;Entidades que participan en proyectos de ciudad asesorados por la Oficina de Proyectos estratégicos y participación empr;NÚMERO;15
001102;92402;01;01;Asesoramiento a las Áreas de Gobierno, Distritos, Empresas y Organismos Autónomos municipales;NÚMERO;26
001102;92402;02;10;Proyectos apoyados en programas formativos y de promoción de talentos en la industria audiovisual;NÚMERO;20
001102;92402;02;09;Asociaciones, empresas o entidades adheridas al Clúster Audiovisual de Madrid;NÚMERO;70
001102;92402;02;08;Nº de ayudas concedidas a proyectos audiovisuales en pública concurrencia;NÚMERO;35
001102;92402;02;07;Proyectos presentados a la convocatoria pública anual de subvenciones en concurrencia competitiva dirigida al sector aud;NÚMERO;100
001102;92402;02;06;Estudios de percepción de la marca Madrid;NÚMERO;1
001102;92402;02;05;Eventos para activar la marca Madrid en sectores estratégicos;NÚMERO;2
001102;92402;02;04;Producción de videos para la promoción de la ciudad de Madrid;NÚMERO;1
001102;92402;02;03;Producción de merchandising promocional de la marca Madrid;NÚMERO;1
001102;92402;02;02;Publicaciones bilingües para la promoción de la marca Madrid;NÚMERO;2
001102;92402;02;01;Campañas de comunicación para la promoción de la marca Madrid y la mejora de su posicionamiento global;NÚMERO;1
001102;92402;03;01;Evaluación de solicitudes de mediación;NÚMERO;160
001102;92402;03;02;Expedientes de mediación administrativa;NÚMERO;120
001102;92402;03;03;Derivaciones a otros servicios municipales;NÚMERO;70
001102;92402;03;04;Asesoramiento y coordinación en materia de mediación a las Áreas de Gobierno, Distritos y Organismos Autónomos municipal;NÚMERO;50
001102;92402;03;05;Jornada/ciongreso de mediación administrativa;NÚMERO;1
001102;92402;03;06;Campañas de comunicación para fomento de la mediación en el Ayuntamiento de Madrid;NÚMERO;1
001102;92402;03;07;Reuniones con interlocutores externos;NÚMERO;30
001102;92402;03;08;Convenios;NÚMERO;2
001102;92402;04;04;Solicitudes de dictamen de la Comision Jurídica Asesora de la CAM;NÚMERO;150
001102;92402;04;03;Peticiones del Defensor del Pueblo tramitadas;NÚMERO;250
001102;92402;04;01;Actos de naturaleza oficial;NÚMERO;450
001102;92402;04;02;Atenciones protocolarias y representativas;NÚMERO;100
001103;92222;01;01;Expedientes denuncia;NÚMERO/AÑO;140
001120;13000;01;01;PLAZO PARA CONSENSUAR CON LA COMISIÓN PREPARATORIA DE LA JUNTA DE GOBIERNO LOS ASUNTOS RECIBIDOS PARA SU APROBACIÓN;DÍAS;2
001120;13000;02;01;EXPEDIENTES DE CONTRATACIÓN TRAMITACIÓN ORDINARIA;NÚMERO/AÑO;266
001120;13000;02;02;TIEMPO MEDIO DE TRAMITACIÓN DE PROCEDIMIENTOS ABIERTOS;DÍAS;190
001120;13000;02;03;TIEMPO MEDIO DE TRAMITACIÓN DE PROCEDIMIENTOS NEGOCIADOS;DÍAS;120
001120;13000;02;04;TIEMPO MEDIO DE TRAMITACIÓN DE CONTRATOS BASADOS DE LOS ACUERDOS MARCO DE OBRAS;DÍAS;40
001120;13000;02;05;TIEMPO MEDIO DE TRAMITACIÓN DE LOS PROCEDIMIENTOS SIMPLIFICADOS;DÍAS;100
001120;13000;02;06;ANUNCIOS EN MATERIA DE CONTRATACIÓN;NÚMERO;778
001120;13000;02;07;PUBLICACIÓN TRIMESTRAL EN LA PLATAFORMA DE CONTRATACIÓN DEL SECTOR PÚBLICO DE LOS CONTRATOS MENORES;NÚMERO;4
001120;13000;02;08;INSCRIPCIÓN DE EXPEDIENTES DE CONTRATACIÓN EN REPLYCA;NÚMERO;1238
001120;13000;02;09;EXPEDIENTES CONTRATOS MENORES;NÚMERO/AÑO;350
001120;13000;03;10;GESTIÓN DE LAS FACTURAS INCLUIDAS EN EL REGISTRO ÚNICO DE FACTURAS;DÍAS;2
001120;13000;03;09;DOCUMENTOS TRAMITADOS EN EL MÓDULO DE SUBVENCIONES;NÚMERO/AÑO;280
001120;13000;03;08;EXPEDIENTES DE REVISIÓN DE PRECIOS;NÚMERO/AÑO;7
001120;13000;03;07;EXPEDIENTES DE LIQUIDACIÓN DE TASA POR PRESTACIÓN DE SERVICIOS SANITARIOS;NÚMERO/AÑO;6000
001120;13000;03;06;INFORMES POR EXPEDICIÓN DE DOCUMENTOS ADMINISTRATIVOS;NÚMERO/AÑO;16000
001120;13000;03;05;EXPEDIENTES DE GASTO POR ANTICIPOS DE CAJA FIJA;NÚMERO/AÑO;100
001120;13000;03;04;DOCUMENTOS CONTABLES;NÚMERO/AÑO;1000
001120;13000;03;03;MODIFICACIONES DE CRÉDITO;NÚMERO/AÑO;200
001120;13000;03;01;ELABORACIÓN DE PRESUPUESTO;NÚMERO/AÑO;1
001120;13000;03;02;INFORMES DE SEGUIMIENTO DE LA EJECUCIÓN DEL PRESUPUESTO;NÚMERO/AÑO;48
001120;13000;04;01;EXPEDIENTES DE ADQUISICIÓN CENTRALIZADA;NÚMERO/AÑO;40
001120;13000;04;02;EXPEDIENTES DE CONTRATACIÓN;NÚMERO/AÑO;33
001120;13000;04;03;EXPEDIENTES DE GASTO TRAMITADOS CON CARGO AL ANTICIPO DE CAJA FIJA;NÚMERO/AÑO;21
001120;13000;05;07;TRASLADOS DE MOBILIARIO, DOCUMENTACIÓN, ENSERES Y PERSONAS;NÚMERO;950
001120;13000;05;06;AUTORIZACIÓN DE APARCAMIENTOS;NÚMERO;270
001120;13000;05;05;GESTIÓN DE SALAS;NÚMERO;290
001120;13000;05;04;TOTAL ANOTACIONES REGISTRO (ENTRADAS Y SALIDAS);NÚMERO;40500
001120;13000;05;03;EDIFICIOS E INSTALACIONES COMPARTIDOS CON OTRAS INSTITUCIONES PÚBLICAS;NÚMERO;5
001120;13000;05;01;EDIFICIOS E INSTALACIONES ADSCRITOS AL ÁREA DE GOBIERNO EN RÉGIMEN DE ARRENDAMIENTO;NÚMERO;4
001120;13000;05;02;EDIFICIOS E INSTALACIONES PROPIEDAD MUNICIPAL ADSCRITOS AL ÁREA DE GOBIERNO;NÚMERO;89
001120;13000;06;09;PLAZO REMISIÓN ANUNCIOS A TABLÓN DE EDICTOS AYUNTAMIENTO Y TABLÓN EDICTAL ÚNICO BOE;DÍAS;2
001120;13000;06;08;PLAZO REMISIÓN DOCUMENTACIÓN REQUERIDA POR ÓRGANOS JUDICIALES;DÍAS;3
001120;13000;06;07;PLAZO PARA ELEVAR LA PROPUESTA DE CLAUSURA DESDE LA RECEPCIÓN DEL INFORME DE PREVENCIÓN;DÍAS;1
001120;13000;06;06;PLAZO PETICIÓN INFORME ASESORÍA JURÍDICA DESDE LA FIRMA DEL DECRETO DE INICIO EN CONVENIOS Y PROTOCOLOS;DÍAS;3
001120;13000;06;05;PLAZO REMISIÓN ANUNCIOS Y DISPOSICIONES A BOLETINES OFICIALES Y SEDE ELECTRÓNICA;DÍAS;2
001120;13000;06;04;PLAZO INSCRIPCIÓN DISPOSICIONES (DECRETOS Y RESOLUCIONES) EN APLICACIÓN DE REGISTRO DE DECRETOS Y RESOLUCIONES;DÍAS;3
001120;13000;06;03;EXPEDIENTES SANCIONADORES INICIADOS;NÚMERO/AÑO;3900
001120;13000;06;01;PLAZO INSCRIPCIÓN EN EL REGISTRO DE CONVENIOS (CONVENIOS Y PROTOCOLOS) DESDE LA RECEPCIÓN DE LA DOCUMENTACIÓN PRECEPTIVA;DÍAS;3
001120;13000;06;02;RECURSOS DE REPOSICIÓN RELATIVOS A EXPEDIENTES SANCIONADORES RESUELTOS;NÚMERO/AÑO;35
001120;13000;07;01;COORDINACIÓN DE LOS EQUIPOS DE EMERGENCIAS;NÚMERO/AÑO;1
001120;13000;07;02;REALIZACIÓN DE SIMULACROS DE EMERGENCIA;NÚMERO/AÑO;1
001120;13000;08;04;CERTIFICACIONES;NÚMERO/AÑO;29
001120;13000;08;03;CONTRATOS MENORES;NÚMERO/AÑO;1
001120;13000;08;02;CONTRATOS BASADOS DEL ACUERDO MARCO;NÚMERO/AÑO;5
001120;13000;08;01;ACUERDO MARCO;NÚMERO/AÑO;6
001120;13000;09;01;EXPEDIENTES DE CONTRATACIÓN REVISADOS;PORCENTAJE;100
001120;13000;10;01;DOCUMENTOS REVISADOS;PORCENTAJE;100
001120;13000;11;08;TIEMPO TRAMITACIÓN SOLICITUDES FLEXIBILIZACIÓN HORARIA  PERSONAL JORNADA ESPECIAL OAC;DÍAS;10
001120;13000;11;07;TIEMPO TRAMITACIÓN SOLICITUDES FLEXIBILIZACIÓN HORARIA PERSONAL JORNADA ORDINARIA;DÍAS;5
001120;13000;11;09;TIEMPO RESOLUCIÓN SOLICITUDES TELETRABAJO PERSONAL ADSCRITO A LA SGT;DÍAS;5
001120;13000;11;10;TIEMPO RESOLUCIÓN CONSULTAS SOBRE TEMAS DE PERSONAL PRESENTADAS POR AYRE;DÍAS;5
001120;13000;11;06;TIEMPO TRAMITACIÓN PROCEDIMIENTOS PROVISIÓN TEMPORAL DESDE RECEPCIÓN DOCUMENTOS ÓRGANOS DIRECTIVOS;DÍAS;10
001120;13000;11;05;TIEMPO RESOLUCIÓN PROCEDIMIENTOS LIBRES DESIGNACIONES RESTRINGIDAS DESDE DÍA SIGUIENTE FINALIZACIÓN PLAZO SOLICITUDES;MESES;2
001120;13000;11;04;TIEMPO RESOLUCIÓN PROCEDIMIENTOS CONCURSOS ESPECÍFICOS DESDE DÍA SIGUIENTE FINALIZACIÓN PLAZO SOLICITUDES;MESES;4
001120;13000;11;03;TIEMPO RESOLUCIÓN PROCEDIMIENTOS CONCURSOS GENERALES DESDE DÍA SIGUIENTE FINALIZACIÓN PLAZO SOLICITUDES;MESES;3
001120;13000;11;02;TIEMPO TRAMITACIÓN EXPEDIENTES CREACIÓN Y MODIFICACIÓN RPT DESDE LA RECEPCIÓN DE LA MEMORIA DEL ÓRGANO DIRECTIVO;DÍAS;10
001120;13000;11;01;TIEMPO TRAMITACIÓN TARJETAS CORPORATIVAS DESDE LA RECEPCIÓN DE LA SOLICITUD HASTA SU REMISIÓN A SEGURIDAD CORPORATIVA;DÍAS;4
001120;13000;12;01;MEMORIAS DE IMPACTO DE GÉNERO Y DE CUMPLIMIENTO DE OBJETIVOS DE IGUALDAD REVISADAS;PORCENTAJE;100
001120;13001;01;02;HORAS DE FORMACIÓN;NÚMERO;770000
001120;13001;01;01;ALUMNOS/AS PARTICIPANTES FORMADOS/AS;NÚMERO;24900
001120;13001;02;01;ALUMNOS/AS PARTICIPANTES FORMADOS/AS;NÚMERO;450
001120;13001;02;02;HORAS DE FORMACIÓN;NÚMERO;3300
001120;13001;03;01;JORNADAS Y EVENTOS ORGANIZADAS POR EL CIFSE;NÚMERO;2
001120;13001;04;01;ACCIONES FORMATIVAS(Ediciones) TRANSVERSALES;NÚMERO;106
001120;13001;04;02;REUNIONES DE RESPONSABLES DE FORMACIÓN;NÚMERO/AÑO;10
001120;13001;04;03;CONTRATOS PARA DOS O MÁS COLECTIVOS;NÚMERO/AÑO;2
001120;13001;05;01;INSTALACIONES TECNOLÓGICAS;NÚMERO;4
001120;13001;05;02;NUEVAS HERRAMIENTAS DE AUTOR PARA MODERNIZACIÓN DE LAS A.F.;NÚMERO;3
001120;13001;05;03;INTEGRACIÓN DE LOS DISPOSITIVOS ELECTRONICOS DEL CIFSE EN LA RED WIFI CORPORATIVA;PORCENTAJE;50
001120;13201;01;09;Indice de percepción de la convivencia;NÚMERO/MILLAR;66
001120;13201;01;08;Grado de satisfacción obtenido en la encuesta anual de la ciudad;PORCENTAJE;69
001120;13201;01;07;Accidentes de tráfico: víctimas por 1.000 ciudadanos teniendo en cuenta el 80% de la población censada en la CAM;NÚMERO/MILLAR;174
001120;13201;01;06;Accidentes de tráfico: Nº de peatones fallecidos por accidente de tráfico;NÚMERO;12
001120;13201;01;05;Accidentes de tráfico: víctimas mortales;NÚMERO;15
001120;13201;01;04;Índice de percepción de la seguridad en la ciudad;NÚMERO/MILLAR;750
001120;13201;01;03;Índice de percepción de la Seguridad en el Distrito por la noche;NÚMERO/MILLAR;650
001120;13201;01;02;Índice de percepción de seguridad en el Distrito por el día;NÚMERO/MILLAR;860
001120;13201;01;01;Decremento interanual de la tasa de criminalidad;NÚMERO/MILLAR;720
001120;13201;02;08;Incidentes urgentes en materia de seguridad en los que se llega al lugar del incidente en 8 minutos o menos desde que se;PORCENTAJE;87
001120;13201;02;07;Atender las demandas de otras FFCC y Judicatura sobre peticiones de informaciones relacionadas con los sistemas de vide;PORCENTAJE;100
001120;13201;02;06;Incidentes atendidos por detección de las CTTV en las zonas de videoanálisis;PORCENTAJE;19
001120;13201;02;05;Denuncias por infracción a la Ley 4/2015, de 30 de marzo, de protección de la seguridadciudadana en materia de armas en;PORCENTAJE;100
001120;13201;02;04;Personas puestas a disposición judicial en relación con los delitos denunciados;PORCENTAJE;45
001120;13201;02;03;Recorridos de vigilancias en entrada y salida de colegios.;NÚMERO;15000
001120;13201;02;01;Revisión y actualización de los Planes Territoriales de Seguridad Integral;NÚMERO;22
001120;13201;02;02;Porcentaje de cumplimiento de patrullajes programados de acuerdo con los Planes Territoriales;PORCENTAJE;55
001120;13201;03;14;Atender las demandas de la comunidad escolar sobre el desarrollo del programa 'Zonas Libres de Acoso”;PORCENTAJE;100
001120;13201;03;13;Actuaciones de protección al consumidor/a en relación con el número de demandas ciudadanas (ratio).;RATIO;1
001120;13201;03;12;Actuaciones con animales domésticos en relación con la demanda ciudadana (ratio).;RATIO;1
001120;13201;03;11;Mediaciones solicitadas y susceptibles de ser realizadas por la Policía Municipal;PORCENTAJE;100
001120;13201;03;10;Charlas y conferencias preventivas en materia de seguridad integral y convivencia;PORCENTAJE;10
001120;13201;03;09;Demandas de ruidos atendidas de aquellas suceptibles de ser medidas;PORCENTAJE;100
001120;13201;03;08;Locales inspeccionados respecto al total de locales recogido en la aplicación de industrias con especial riesgo en la tr;NÚMERO;1300
001120;13201;03;07;Locales LEPAR inspeccionados (1/3 anual) respecto al total de locales recogidos en la aplicación de industrial de la PM;PORCENTAJE;34
001120;13201;03;06;Contactos realizados con las asociaciones de vecinos/as, comerciantes y otras asociaciones representativas del tejido so;NÚMERO;1
001120;13201;03;05;expedientes resueltos o derivados a instancias competentes en un plazo menor o igual a 30 días por las Ofic;PORCENTAJE;75
001120;13201;03;04;Actuaciones de Protección al consumidor/a en relación con el número de demandas ciudadanas (ratio(;NÚMERO;1
001120;13201;03;03;Centros frecuentados por familias, personas mayores y con discapacidad, con auditorías y planes realizados siguiento la;NÚMERO;22
001120;13201;03;02;Centros Educativos con auditorías y planes realizados siguiendo la metodología FISE;NÚMERO;60
001120;13201;03;01;Recorridos de vigilancia en los parques públicos y zonas verdes, identificados en los Planes territoriales;NÚMERO;15000
001120;13201;04;01;Campañas de seguridad Vial;NÚMERO;24
001120;13201;04;02; Población testada en pruebas de alcoholemia y drogas;PORCENTAJE;4
001120;13201;04;03;Centros educativos a los que se imparte formación de Educación Vial;PORCENTAJE;85
001120;13201;04;04;Charlas y conferencias impartidas a colectivos identificados como vulnerables de acuerdo con el Plan de Se;PORCENTAJE;100
001120;13201;04;05;Accidentes en los que se llega al lugar del incidente en 8 minutos o menos;PORCENTAJE;87
001120;13201;04;06;Requerimientos por estacionamientos indebidos;PORCENTAJE;5
001120;13201;04;07;Propuestas de ordenación y regulación del tráfico, aceptadas por el Área correspondiente del total de las prese;PORCENTAJE;85
001120;13201;04;08;Análisis de enclaves de accidentes;PORCENTAJE;100
