CeGe;Prog. Finan.;Objetivo;Hipertexto Objetivo;
001102;92402;01;Impulso de Proyectos Estratégicos y de elevado impacto en la ciudad y  Colaboración Público Privada, que contribuya a potenciar la atracción de inversión y talento y el posicionamiento de Madrid en el mundo.;
001102;92402;02;Impulsar la construcción de una marca Madrid fuerte y atractiva que  mejore su posicionamiento entre las grandes ciudades globales y refuerce el orgullo de pertenencia, así como el desarrollo de iniciativas y proyectos estratégicos de elevado impacto, tanto en términos económicos como de promoción y exportación de imagen de la ciudad de Madrid.;
001102;92402;03;Oficina de mediación para la resolución de conflictos entre la  administración y los ciudadanos.;
001102;92402;04;Asegurar el correcto desarrollo de la actividad  representativa, institucional y protocolaria de la institución municipal;
001103;92222;01;Prevención y, en su caso, investigación en el Ayuntamiento de Madrid de  actuaciones que puedan ser constitutivas de fraude, corrupción o mala administración intencionada de los poderes públicos. La previsión para el ejercicio 2024 es de 120 denuncias.;
001120;13000;01;GESTIONAR ADECUADAMENTE LA ELEVACIÓN DE LOS ASUNTOS PROPUESTOS POR LOS  ÓRGANOS DIRECTIVOS DEL ÁREA DE GOBIERNO Y DE MADRID SALUD PARA SU APROBACIÓN POR LA JUNTA DE GOBIERNO Y EL PLENO MEDIANTE LA APLICACIÓN SISTEMÁTICA DE LOS PROCEDIMIENTOS ESTABLECIDOS.;
001120;13000;02;LOGRAR UNA TRAMITACIÓN RÁPIDA Y DE CALIDAD DE LOS EXPEDIENTES DE  CONTRATACIÓN GARANTIZANDO EL ASESORAMIENTO, TRAMITACIÓN, SEGUIMIENTO E IMPULSO DE LOS CONTRATOS TRAMITADOS POR EL ÁREA DE GOBIERNO.;
001120;13000;03;GESTIONAR LOS RECURSOS PÚBLICOS ASIGNADOS AL ÁREA DE GOBIERNO DE ACUERDO  A LOS PRINCIPIOS DE EFICACIA, EFICIENCIA, ECONOMÍA, CALIDAD, ESTABILIDAD PRESUPUESTARIA Y SOSTENIBILIDAD FINANCIERA.;
001120;13000;04;ATENDER ADECUADAMENTE LAS NECESIDADES DE ADQUISICIÓN DE BIENES,  PRESTACIÓN DE SERVICIOS Y OBRAS EN MATERIA DE RÉGIMEN INTERIOR.;
001120;13000;05;ORGANIZAR Y GESTIONAR ADECUADAMENTE LOS SERVICIOS GENERALES RELACIONADOS  CON LA OCUPACIÓN DE EDIFICIOS E INSTALACIONES, TRASLADO DE DOCUMENTACIÓN Y CONTROL DE CORREO, CONDUCTORES Y FONDOS DOCUMENTALES.;
001120;13000;06;LOGRAR UNA TRAMITACIÓN EFICAZ Y DE CALIDAD DE LOS INFORMES, CONVENIOS,  EXPEDIENTES SANCIONADORES, DISPOSICIONES, RECURSOS Y DEMÁS EXPEDIENTES EN MATERIA DE RÉGIMEN JURÍDICO Y GESTIONAR LAS PUBLICACIONES EN BOLETINES OFICIALES Y TABLONES EDICTALES.;
001120;13000;07;GARANTIZAR LA SEGURIDAD Y SALUD DE LOS TRABAJADORES EN EL MEDIO LABORAL;
001120;13000;08;GARANTIZAR EL USO DE LOS EDIFICIOS DE SEGURIDAD Y EMERGENCIAS EN  CONDICIONES DE SEGURIDAD, SALUBRIDAD, ORNATO Y SU ADECUACIÓN A LA NORMATIVA TÉCNICA VIGENTE.;
001120;13000;09;INCLUIR CLÁUSULAS SOCIALES DE PERSPECTIVA DE GÉNERO EN LA CONTRATACIÓN;
001120;13000;10;PROMOCIÓN DEL USO NO SEXISTA DEL LENGUAJE;
001120;13000;11;EJECUCIÓN DEL PLAN DE ACTUACIÓN BIENAL DE TRANSVERSALIDAD DE GÉNERO;
001120;13000;12;GESTIONAR LOS RECURSOS HUMANOS DEL ÁREA A TRAVÉS DE PROCEDIMIENTOS  ÁGILES Y DE CALIDAD, POTENCIANDO LA FORMACIÓN Y RECUALIFICACIÓN DE TRABAJADORAS/ES, INCORPORANDO EL PRINCIPIO DE IGUALDAD ENTRE MUJERES Y HOMBRES.;
001120;13001;01;COORDINACIÓN Y EJECUCIÓN DEL PLAN DE ESTUDIOS 2024;
001120;13001;02;COORDINACIÓN Y EJECUCIÓN DEL PLAN DE ESTUDIOS 2024 EN MATERIA DE IMPACTO DE GÉNERO.;
001120;13001;03;PROYECCIÓN EXTERNA DEL CIFSE COMO CENTRO DE REFERENCIA EN SEGURIDAD Y  EMERGENCIAS;
001120;13001;04;FOMENTO DE LA FORMACION DE INTEGRACIÓN DE CUERPOS Y SERVICIOS DE  SEGURIDAD, EMERGENCIAS Y MOVILIDAD;
001120;13001;05;PROYECTO TECNOLÓGICO;
001120;13201;01;OBJETIVOS ESTRATÉGICOS;
001120;13201;02;PARTICIPAR EN EL MANTENIMIENTO DE LA SEGURIDAD CIUDADANA GENERANDO  SEGURIDAD INTEGRAL PRODUCIDA Y PERCIBIDA;
001120;13201;03;FACILITAR LA CONVIVENCIA CIUDADANA Y VECINAL MEDIANTE UN ENFOQUE  PROACTIVO Y PREVENTIVO;
001120;13201;04;MEJORAR LA SEGURIDAD VIAL Y LA SOSTENIBILIDAD AVANZANDO HACIA UNA  MOVILIDAD SEGURA;
001120;13201;05;DESARROLLAR EL MARCO COMPETENCIAL DE POLICÍA JUDICIAL;
001120;13201;06;PARTICIPAR EN SERVICIOS ESPECIALES Y SERVICIOS EXTRAORDINARIOS QUE LA  CIUDAD POR SU CONDICIÓN DE CAPITALIDAD DEMANDA;
001120;13201;07;RESPONDER OPERATIVAMENTE ANTE CUALQUIER SUCESO, CATASTROFE O FRENTE A  PANDEMIAS Y EPIDEMIAS O AGENTES INFECCIOSOS;
001120;13201;08;GESTIONAR LA ACTIVIDAD POLICIAL BAJO UN ENFOQUE DE EXCELENCIA Y  MODERNIZACIÓN EN LA PRESTACIÓN DE SERVICIOS;
001120;13201;09;MEJORAR LA PERCEPCIÓN DE SEGURIDAD EN LAS MUJERES;
001120;13201;10;PARTICIPAR EN LA ERRADICACIÓN DE LAS VIOLENCIAS MACHISTAS MEDIANTE LA  ATENCIÓN, INFORMACIÓN Y SEGUIMIENTO Y PROTECCIÓN DE TODAS LAS VÍCTIMAS ASIGNADAS DE ACUERDO CON EL VIOGEN;
001120;13201;11;FOMENTO DE LA VISIBILIDAD DE LAS MUJERES EN LA ESFERA PROFESIONAL;
001120;13201;12;MECANISMOS PARA REDUCIR LAS DESIGUALDADES DE GÉNERO;
001120;13201;13;INCIDIR EN LAS LÍNEAS ESTRATÉGICAS DE LA POLÍTICA DE IGUALDAD MUNICIPAL;
001120;13510;01;RESPUESTA EFICIENTE DE LA ASISTENCIA SANITARIA DE EMERGENCIAS Y  CATÁSTROFES;
001120;13510;02;FORTALECIMIENTO DE LA CAPACIDAD CIUDADANA ANTE SITUACIONES DE URGENCIA SANITARIA;
001120;13510;03;POTENCIACIÓN DE LA CAPACIDAD DE RESPUESTA NACIONAL E INTERNACIONAL DEL  SERVICIO SAMUR PROTECCIÓN CIVIL;
001120;13510;04;OPTIMIZAR LA RESPUESTA COORDINADA DE LOS SERVICIOS DE EMERGENCIAS Y  SEGURIDAD Y OTROS ANTE LA EMERGENCIA;
001120;13510;05;FORMAR EN EQUIDAD, VULNERABILIDAD Y DIVERSIDAD A LOS AGENTES DE SAMUR  PROTECCIÓN CIVIL;
001120;13610;01;MEJORAR LA RESPUESTA EN LA ATENCIÓN A SINIESTRO;
001120;13610;02;FORTALECER LA GESTIÓN Y LA ORGANIZACIÓN DEL CUERPO DE BOMBEROS;
001120;13610;03;FORTALECIMIENTO DE LA POLÍTICA PREVENTIVA DIRIGIDA A LA CIUDADANÍA;
001120;13610;04;FORTALECIMIENTO DE LA PREVENCIÓN DE INCENDIOS;
001120;13610;05;SELECCIÓN DE PERSONAL Y FORTALECIMIENTO DE LA SALUD LABORAL;
001120;13610;06;CAPACITACION TÉCNICA DE PERSONAL OPERATIVO, FORMACIÓN ON LINE;
001120;13610;07;MANTENIMIENTO Y MODERNIZACIÓN DE INFRAESTRUCTURAS, PLANIFICACIÓN,  LOGÍSTICA Y EQUIPOS DEL CUERPO DE BOMBEROS;
001120;13672;01;EJECUCIÓN DEL PROYECTO NGEU. SERVICIOS Y COMUNICACIONES 5G EMERGENCIAS;
001120;15350;01;SERVIR DE REFERENCIA, INTERNA Y EXTERNA A LA ORGANIZACIÓN MUNICIPAL PARA  LA PROMOCIÓN DE LA ACCESIBILIDAD EN LA CIUDAD. IMPULSAR LA COHESIÓN, PROMOVER EL TRABAJO COORDINADO, LA INNOVACIÓN Y LA PARTICIPACIÓN, FORTALECER LOS CANALES DE COMUNICACIÓN.;
001120;15350;02;IDENTIFICAR Y CATALIZAR COLECTIVAMENTE POLITICAS Y ACCIONES PROMOTORAS  DE LA ACCESIBILIDAD ENTRE LAS ÁREAS DE GOBIERNO, DIRECCIONES GENERALES, DISTRITOS Y ORGANISMOS AUTÓNOMOS CON CRITERIOS DE EFECTIVIDAD Y SOSTENIBILIDAD QUE GENEREN RESULTADOS DE IMPACTO POSITIVO PARA LA CIUDAD.;
001120;15350;03;AUMENTAR LA SENSIBILIZACIÓN, FORMACIÓN E INFORMACIÓN DE LOS AGENTES  RESPONSABLES DE LA ACCESIBILIDAD EN LA CIUDAD DE MADRID, INCLUIDO EL PERSONAL MUNICIPAL, PARA EL MEJOR CONOCIMIENTO DE LA NORMATIVA, LEGISLACIÓN Y BUENAS PRÁCTICAS EXISTENTES.;
001120;23200;01;Avanzar en la cohesión social y el reequilibrio territorial;
001120;23200;02;Fomento de la cogobernanza y de la participación activa de la ciudadanía;
001120;23200;03;Consolidación del principio de corresponsabilidad;
001120;23200;04;Incorporación de la perspectiva de género y de inclusión de las personas  mayores;
001120;23200;05;Apoyar el desarrollo de los distritos y barrios más  deprimidos  socioeconómicamente, promoviendo el desarrollo de infraestructuras y equipamientos públicos que potencien el reequilibrio territorial, la creación de empleo y la riqueza;
001120;23200;06;Fomentar la concertación con el tejido asociativo y demás entidades en  los Planes Estratégicos para el Reequilibrio Territorial (PERT).;
001120;23200;07;Informar y difundir los resultados y planificación de SURES – Plan de desarrollo del sur y del este;
001120;23201;01;Avanzar en la cohesión y reequilibrio territorial y consolidar los principios de corresponsabilidad y solidaridad territorial, mejorando social, urbanística y económicamente los distritos, barrios y zonas más vulnerables y con mayor necesidad de reequilibrio.;
001120;23201;02;Mejorar el seguimiento del Fondo de Reequilibrio Territorial e incorporar perspectiva de género;
001120;31103;01;APORTACIÓN A MADRID SALUD;
001120;91200;01;PREPARACIÓN Y SEGUIMIENTO DE LOS ACUERDOS DE LA JUNTA DE GOBIERNO;
001120;91200;02;GESTIÓN DEL REGISTRO DE CONVENIOS, ENCOMIENDAS DE GESTIÓN Y ENCARGOS A  MEDIOS PROPIOS PERSONIFICADOS.;
001120;91200;03;GESTIÓN DEL TABLÓN DE EDICTOS.;
001120;91200;04;GESTIONAR LAS FUNCIONES RELACIONADAS CON LA FE PÚBLICA.;
001120;91210;01;MEJORAR Y AGILIZAR LOS PROCEDIMIENTOS DE GESTIÓN ECONÓMICA  CORRESPONDIENTES A LOS GASTOS EN CONCEPTO DE ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS;
001120;92006;01;INCREMENTAR LA TRANSPARENCIA DEL AYUNTAMIENTO DE MADRID MEDIANTE EL  IMPULSO DEL PORTAL DE TRANSPARENCIA Y LA GESTIÓN DE LAS SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA EN DESARROLLO DE LA ORDENANZA DE TRANSPARENCIA DE LA CIUDAD DE MADRID;
001120;92006;02;IMPULSAR LA REUTILIZACIÓN DE LA INFORMACIÓN PÚBLICA DE LA QUE DISPONE EL  AYUNTAMIENTO DE MADRID MEDIANTE LA AUTOMATIZACIÓN Y EL INCREMENTO DE GRUPOS DE DATOS EN EL CATÁLOGO DEL PORTAL DE DATOS ABIERTOS.;
001120;92006;03;MEJORAR LA CALIDAD DE LOS SERVICIOS MUNICIPALES A TRAVÉS DE LOS SISTEMAS  DE CALIDAD, CARTAS DE SERVICIOS y MODELOS CAF y EFQM, Y LA APLICACIÓN DE HERRAMIENTAS DE CALIDAD;
001120;92006;04;COORDINAR LA DEFINICIÓN Y OPERATIVIZACIÓN DE LA ESTRATEGIA MUNICIPAL  MEDIANTE LA ELABORACIÓN, SEGUIMIENTO Y EVALUACIÓN DEL PLAN ESTRATÉGICO Y DEL PLAN OPERATIVO DE GOBIERNO DE LA CIUDAD DE MADRID.;
001120;92006;05;OFRECER UN SERVICIO EFICAZ QUE FACILITE A LA CIUDADANÍA EL EJERCICIO DEL  DERECHO A PRESENTAR SUGERENCIAS RECLAMACIONES Y FELICITACIONES Y UTILIZAR LOS DATOS OBTENIDOS POR EL SISTEMA SYR PARA LA MEJORA DE LOS SERVICIOS MUNICIPALES;
001120;92006;06;CONOCER LA OPINIÓN CIUDADANA PARA SU SEGUIMIENTO Y EVALUACIÓN  GESTIONANDO EL SISTEMA DE PERCEPCIÓN CIUDADANA, Y EL RESULTADO E IMPACTO DE PLANES, PROGRAMAS Y SERVICIOS MUNICIPALES A TRAVÉS DE SU EVALUACIÓN;
001120;92006;07;PROMOVER LA COMUNICACIÓN CLARA EN EL AYUNTAMIENTO DE MADRID DE MANERA  QUE SE COMUNIQUE DE FORMA FÁCIL, DIRECTA, TRANSPARENTE, SENCILLA, INCLUSIVA Y SE FACILITE INFORMACIÓN RELEVANTE PARA LA CIUDADANÍA;
001120;92013;01;GARANTIZAR LA CONFIDENCIALIDAD DE LA INFORMACIÓN DE CARÁCTER PERSONAL DE  LA CIUDADANÍA QUE SE RELACIONA CON EL AYUNTAMIENTO DE MADRID Y ADAPTACIÓN A LA NUEVA NORMATIVA DE PROTECCIÓN DE DATOS.;
001120;92201;01;GARANTIZAR LA FLUIDEZ DE LAS RELACIONES DEL PLENO CON EL EQUIPO DE  GOBIERNO;
001120;92201;02;GESTIONAR FUNCIONES RELACIONADAS CON LA ACTIVIDAD DEL PLENO Y SUS  COMISIONES;
001120;92202;01;REFORZAR LA COMUNICACIÓN INTERNA;
001120;92202;02;IMPULSO, SEGUIMIENTO Y CONTROL DE LA IMAGEN CORPORATIVA CON SUPERVISIÓN DE LA APLICACIÓN DEL PRINCIPIO DE IGUALDAD Y ENFOQUE DE GÉNERO;
001120;92202;03;ASEGURAR LA COMUNICACIÓN DIRECTA DEL AYUNTAMIENTO;
001120;92202;04;MANTENER LAS RELACIONES CON LOS MEDIOS DE COMUNICACIÓN;
001120;92202;05;PUBLICITAR Y DIFUNDIR LA INFORMACIÓN INSTITUCIONAL Y LOS SERVICIOS Y  ACTIVIDADES MUNICIPALES;
001120;92208;01;Contribuir a la producción de normas jurídicas municipales.;
001120;92208;02;Determinar criterios básicos de actuación de los Distritos que faciliten  su gestión y garanticen una homogeneización de procedimientos;
001120;92208;03;Fortalecer los sistemas de información de los Distritos para simplificar  su gestión administrativa y potenciar los canales de comunicación y el traspaso de datos e informaciones con las Áreas de Gobierno, mediante el análisis de procesos y la propuesta de nuevas utilidades informáticas o mejora de funcionalidades.;
001120;92208;04;Coordinar la gestión de los Distritos supervisando los expedientes y  propuestas que se elevan a otros órganos municipales.;
001120;92208;05;Dar a conocer las actividades desarrolladas en el ámbito territorial;
001120;92208;06;Coordinar la actuación de los distritos en materia de autorizaciones de  terrazas de hostelería y restauración;
001120;92209;01;IMPULSAR EL ESTUDIO E IMPLANTACIÓN DE MEJORAS DE GESTIÓN EN LOS  DISTRITOS;
001120;92209;02;APOYO EN LA GESTIÓN Y DIFUSIÓN DE LOS TRABAJOS DE LA SUBDIRECCIÓN  GENERAL DE DESCONCENTRACIÓN, ACCIÓN TERRITORIAL Y ESTUDIOS DESDE UNA PERSPECTIVA INTEGRAL, TRANSVERSAL Y DE GÉNERO;
001120;92209;03;FOMENTAR LA COLABORACIÓN CON ENTIDADES CIUDADANAS SIN ÁNIMO DE LUCRO  PARA LA REGENERACIÓN URBANA Y LA INSERCIÓN SOCIAL;
001120;92209;04;CONTINUAR CON EL PROCESO DE DESCONCENTRACIÓN DE COMPETENCIAS HACIA LOS  DISTRITOS, Y GARANTIZAR LA COORDINACIÓN DE SU DESARROLLO ENTRE LAS ÁREAS DE GOBIERNO MUNICIPALES Y LOS DISTRITOS;
001120;92401;01;Impulsar la participación ciudadana mediante la mejora de los procesos  de participación y la mejora continua de la plataforma Decide Madrid, perfeccionando su usabilidad, los análisis y gestión de los datos de participación y la publicación de información de retorno o 'feedback' a los ciudadanos.;
001120;92401;02;Impulsar una nueva convocatoria y gestionar el nuevo proceso de presupuestos participativos, llevando a cabo las actuaciones precisas para mejorar el proceso y garantizar que los proyectos aprobados sean técnicamente viables, así como impulsar la ejecución de los proyectos participativos aprobados en otros ejercicios presupuestarios.;
001120;92401;03;Fomentar la participación ciudadana a través de los órganos de  participación del Ayuntamiento de Madrid;
001120;92401;04;Fomento del asociacionismo y de otras formas de participación colectivas;
001120;92401;05;Impulsar y coordinar la colaboración con el tercer sector y entidades  sin ánimo de lucro;
001120;92401;06;Idear nuevos modelos de participación que favorezcan la implicación de  la ciudadanía utilizando nuevas metodologías, favoreciendo la colaboración con otras administraciones o entidades, públicas o privadas, o con ciudadanos particulares con el fin de identificar, diseñar y promover iniciativas y métodos de trabajo que puedan aportar nuevos cauces o funcionalidades en el modelo de participación.;
001120;92401;07;Difusión de los mecanismos de participación ciudadana de manera efectiva  a través de la comunicación en la web y en redes sociales y la publicidad en medios online y offline, con el objetivo de incrementar el conocimiento de los mismos y la participación en la ciudadanía de Madrid.;
001120;92501;01;Mantener un elevado nivel de satisfacción de la ciudadanía en relación  con la prestación de los servicios de Línea Madrid y del Portal web institucional www.madrid.es;
001120;92501;02;Mejorar el uso de los servicios y accesibilidad de los canales de  atención a la ciudadanía de Línea Madrid.;
001120;92501;03;Potenciar el acercamiento a la ciudadanía, la proactividad y la  personalización de los canales de atención a la ciudadanía Línea Madrid, junto con la coherencia de los servicios prestados a través de ellos.;
001120;92501;04;Potenciar el uso de los canales telemáticos (Chat Online disponible en  el portal web, cuentas en Redes Sociales, mensajería instantánea y otros) y los canales de atención automatizada (ChatBot y servicios a través de IVR telefónica).;
001120;92501;05;Mejorar la calidad de la información, la usabilidad y la estructura del  portal institucional madrid.es, reforzando el apoyo a las unidades gestoras de contenidos web y agilizando la gestión directa de contenidos.;
001130;33000;01;MEJORAR LA PROVISIÓN DE LOS SERVICIOS Y MEDIOS MATERIALES QUE SE DEMANDAN DESDE LAS UNIDADES ADMINISTRATIVAS DEL ÁREA DE GOBIERNO, MEDIANTE LA TRAMITACIÓN Y GESTIÓN DE LOS CORRESPONDIENTES EXPEDIENTES DE CONTRATACIÓN Y LA GESTIÓN DE LOS SERVICIOS INTERNOS;
001130;33000;02;LOGRAR UNA ADECUADA DISTRIBUCIÓN DE LOS RECURSOS ECONÓMICOS DEL ÁREA DE GOBIERNO ENTRE LAS DISTINTAS DIRECCIONES GENERALES, MEDIANTE LA PLANIFICACIÓN DEL PRESUPUESTO, EL SEGUIMIENTO DE SU EJECUCIÓN Y LA GESTIÓN DE LOS EXPEDIENTES DE GASTOS;
001130;33000;03;COORDINAR, PLANIFICAR Y GESTIONAR LAS NECESIDADES DE LAS UNIDADES ADMINISTRATIVAS RELACIONADAS CON LA GESTIÓN DE LOS RECURSOS HUMANOS, SIN PERJUICIO DE LAS COMPETENCIAS ATRIBUIDAS AL ÁREA DE GOBIERNO DE ECONOMÍA, INNOVACIÓN Y HACIENDA;
001130;33000;04;MANTENIMIENTO DE LAS MEDIDAS DE SEGURIDAD Y SALUD EN EL TRABAJO EN LOS EDIFICIOS ADSCRITOS AL ÁREA DE GOBIERNO;
001130;33000;05;COORDINACIÓN Y TRAMITACIÓN ADMINISTRATIVA DE LOS ASUNTOS PROPIOS RELATIVOS A RÉGIMEN JURÍDICO;
001130;33000;06;APOYAR LA GESTIÓN ADMINISTRATIVA DE LAS DIRECCIONES GENERALES MEDIANTE EL ASESORAMIENTO, SEGUIMIENTO Y TRAMITACIÓN DE LOS EXPEDIENTES DE CONTRATACIÓN;
001130;33000;07;APOYAR LA GESTIÓN ADMINISTRATIVA DE LAS DIRECCIONES GENERALES MEDIANTE EL ASESORAMIENTO, SEGUIMIENTO Y TRAMITACIÓN DE EXPEDIENTES DE TRANSFERENCIAS, CONVENIOS, ENCOMIENDAS DE GESTIÓN, TARIFAS Y NEGOCIOS PATRIMONIALES;
001130;33000;08;FACILITAR AL CIUDADANO LA REALIZACIÓN DE TRÁMITES A TRAVÉS DE LA OFICINA DE REGISTRO;
001130;33000;09;PROMOVER MEDIDAS SOCIALES Y DE IGUALDAD A TRAVÉS DE LA CONTRATACIÓN ADMINISTRATIVA EN MATERIA DE RÉGIMEN INTERIOR;
001130;33000;10;GARANTIZAR EL DERECHO DE LA CIUDADANÍA A LA INFORMACIÓN PÚBLICA;
001130;33210;01;Mantener, incrementar y dar uso a las colecciones (libros, audiovisuales, publicaciones periódicas, etc.) de las bibliotecas públicas y especializadas, teniendo en cuenta los distintos perfiles usuarios/as y la perspectiva de género;
001130;33210;02;Realizar el programa de fomento de la lectura 'Madrid Lee', a través de  actividades de promoción de la lectura y formación de usuarios en las bibliotecas públicas y especializadas, abiertas a todos los perfiles de usuarios/as y teniendo en cuenta la perspectiva de género;
001130;33210;03;Potenciar y mejorar el conocimiento de las colecciones y los servicios  prestados por las bibliotecas públicas y especializadas a través de campañas de difusión periódicamente o promocionando efemérides por distintos medios: folletos, web, campañas en mupis, banderolas, medios de comunicación;
001130;33210;04;Asegurar la conservación de los fondos y colecciones;
001130;33210;05;Mejorar las instalaciones de las bibliotecas y el funcionamiento de los servicios;
001130;33210;06;Mantener el servicio bibliometro y bibliored;
001130;33210;07;Incrementar la adquisición de recursos adaptados a personas con  necesidades especiales y las actividades orientadas a este público;
001130;33210;08;Potenciación del tejido cultural relacionado con el libro y la lectura  mediante subvenciones al sector;
001130;33210;09;Fomentar la creación mediante la concesión de premios;
001130;33220;01;Incrementar la descripción de fondos;
001130;33220;02;Mejorar la conservación y preservación de documentos y asegurar el  correcto funcionamiento del Archivo;
001130;33220;03;Potenciar y mejorar el conocimiento de los servicios prestados por el  Archivo de Villa y del patrimonio documental que custodia;
001130;33220;04;Desarrollar el sistema de gestión documental del Ayuntamiento de Madrid;
001130;33301;01;DIFUNDIR Y DAR A CONOCER LAS COLECCIONES MUNICIPALES;
001130;33301;02;ACRECENTAR EL PATRIMONIO HISTÓRICO-ARTÍSTICO DE LOS MUSEOS Y COLECCIONES MUNICIPALES, SU DOCUMENTACIÓN, INVESTIGACIÓN Y CONSERVACIÓN;
001130;33301;03;MEJORAR LAS INSTALACIONES Y ASEGURAR EL FUNCIONAMIENTO DE LOS SERVICIOS;
001130;33301;04;APOYAR A OTRAS INSTITUCIONES PÚBLICAS DEDICADAS AL ESTUDIO, CONSERVACIÓN Y DIFUSIÓN DEL PATRIMONIO CULTURAL DE LA CIUDAD MEDIANTE SUBVENCIONES;
001130;33301;05;APOYAR LA CREACIÓN Y DIFUSIÓN ARTÍSTICA MEDIANTE SUBVENCIONES A GALERÍAS DE ARTE Y ASOCIACIONES;
001130;33301;06;APOYAR LA CREACIÓN ARTÍSTICA MEDIANTE PREMIOS;
